u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution
11,11,67.22,15.81,Fauske Cave,FauskeCave.Linge.2009.lpd,160,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Linge, H.; Lauritzen, S.-E.; Andersson, C.; Hansen, J. K.; Skoglund, R.   .; Sundqvist, H. S.",2009,"Stable isotope records for the last 10 000 years from Okshola cave (Fauske, northern Norway) and regional comparisons",Climate of the Past,Speleothem,-47,7736,NA,0,15,www.ncdc.noaa.gov/paleo/study/15444,wave3,0
12,12,58.55,13.67,Flarken,Flarken.Seppa.2005.lpd,108,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Sepp _, H.; Hammarlund, D.; Antonsson, K.",2005,Low-frequency and high-frequency changes in temperature and effective humidity during the Holocene in south-central Sweden: Implications for atmospheric and oceanic forcings of climate,Climate Dynamics,LakeSediment,-49.623,8981.785,pollen,91,15,www.ncdc.noaa.gov/paleo/study/15444,wave3,10.07594829
13,13,-8.6765,112.8725,GeoB10053_7,GeoB10053_7.Mohtadi.2010.lpd,-1372,Indian Ocean,Indian Ocean,"Mohtadi, Mahyar; Steinke, Stephan; L _ckge, Andreas; Groeneveld, Jeroen; Hathorne, Ed C.",2010,Glacial to Holocene surface hydrography of the tropical eastern Indian Ocean,Earth and Planetary Science Letters,MarineSediment,240,21980,d18O,291,5,10.1594/PANGAEA.736652,wave3,13.38546458
14,14,-9.0099,120.0153,GeoB10069_3,GeoB10069_3.Gibbons.2014.lpd,-1250,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,"Gibbons, Fern T.; Oppo, Delia W.; Mohtadi, Mahyar; Rosenthal, Yair; Cheng, Jun; Liu, Zhengyu; Linsley, Braddock K.",2014,Deglacial   18O and hydrologic variability in the tropical Pacific and Indian Oceans,Earth and Planetary Science Letters,MarineSediment,470.123,35239.58,Mg/Ca,327,5,www.ncdc.noaa.gov/paleo/study/16155,wave3,9.404806063
15,15,-17.1572,11.0117,GeoB1023_5,GeoB1023_5.Kim.2002.lpd,-1978,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Kim, Jung-Hyun; Schneider, Ralph R; M _ller, Peter J; Wefer, Gerold",2002,Interhemispheric comparison of deglacial sea-surface temperature patterns in Atlantic eastern boundary currents,Earth and Planetary Science Letters,MarineSediment,310,21190,alkenone,241,5,10.1594/PANGAEA.88346,wave3,11.54214559
16,16,-5.5732,39.1082,GeoB12605_3,GeoB12605_3.Kuhnert.2014.lpd,-195,Indian Ocean,Indian Ocean,"Kuhnert, Henning; Kuhlmann, Holger; Mohtadi, Mahyar; Meggers, Helge; Baumann, Karl-Heinz; P _tzold, J _rgen",2014,Holocene tropical western Indian Ocean sea surface temperatures in covariation with climatic changes in the Indonesian region,Paleoceanography,MarineSediment,1335,9697,Mg/Ca,243,10,10.1594/PANGAEA.833015,wave3,29.06003348
17,17,-7.1383,39.8408,GeoB12615_4,GeoB12615_4.Romahn.2014.lpd,-446,Indian Ocean,Indian Ocean,"Romahn, S.; Mackensen, A.; Groeneveld, J.; P _tzold, J.",2014,Deglacial intermediate water reorganization: New evidence from the Indian Ocean,Climate of the Past,MarineSediment,766,37604,Mg/Ca,139,5,10.1594/PANGAEA.829471,wave3,3.773277594
18,18,-23.315,12.3767,GeoB1711_4,GeoB1711_4.Kirst.1999.lpd,-1967,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Kirst, Georg J.; Schneider, Ralph R.; M _ller, Peter J.; von Storch, Isabel; Wefer, Gerold",1999,Late Quaternary temperature variability in the Benguela Current system derived from alkenones,Quaternary Research,MarineSediment,400,135000,alkenone,213,5,10.1594/PANGAEA.58042,wave3,1.582466568
19,19,-2.8147,144.4997,GeoB17419_1,GeoB17419_1.Hollstein.2018.lpd,-1883,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Hollstein, Martina; Mohtadi, Mahyar; Rosenthal, Yair; Prange, Matthias; Oppo, Delia W.; Mart _nez Mendez, Gema; Tachikawa, Kazuyo; Moffa Sanchez, Paola; Steinke, Stephan; Hebbeln, Dierk",2018,"Variations in Western Pacific Warm Pool surface and thermocline conditions over the past 110,000 years: Forcing mechanisms and implications for the glacial Walker circulation",Quaternary Science Reviews,MarineSediment,801.8,111350,d18O,217,5,10.1594/PANGAEA.899182,wave3,1.96294467
20,20,-3.6667,-37.7167,GeoB3104_1,GeoB3104_1.Arz.1998.lpd,-767,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Arz, Helge W.; P _tzold, J _rgen; Wefer, Gerold",1998,Correlated millennial-scale changes in surface hydrography and terrigenous sediment yield inferred from Last-Glacial marine deposits off northeastern Brazil,Quaternary Research,MarineSediment,1390,48170,d18O,201,5,10.1594/PANGAEA.81649,wave3,4.296707995
21,21,-4.6133,-36.6367,GeoB3129_1,GeoB3129_1.Weldeab.2006.lpd,-830,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Weldeab, S.; Schneider, R.R.; Kolling, M.",2006,Deglacial sea surface temperature and salinity increase in the western tropical Atlantic in synchrony with high latitude climate instabilities,Earth and Planetary Science Letters,MarineSediment,170,13900,Mg/Ca,119,5,10.1594/PANGAEA.738284,wave3,8.667152221
22,22,-41,-74.3,GeoB3313-1,GeoB33131.Lamy.2002.lpd,-852,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Lamy, Frank; R _hlemann, Carsten; Hebbeln, Dierk; Wefer, Gerold",2002,High- and low-latitude climate control on the position of the southern Peru-Chile Current during the Holocene,Paleoceanography,MarineSediment,283.255,6989.938,alkenone,75,8,10.1594/PANGAEA.735166,wave3,11.18287535
23,23,-4.245,-36.345,GeoB3910_2,GeoB3910_2.Arz.2001.lpd,-2362,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Arz, Helge W.; Gerhardt, S.; P _tzold, J.; Rohl, U.",2001,Millennial-scale changes of surface- and deep-water flow in the western tropical Atlantic linked to Northern Hemisphere high-latitude climate during the Holocene,Geology,MarineSediment,245,10699,alkenone,334,5,10.1594/PANGAEA.735159,wave3,31.94949302
24,24,2.5,9.384,GeoB4905_4,GeoB4905_4.Weldeab.2005.lpd,-1328,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Weldeab, Syee; Schneider, Ralph R.; Kolling, Martin; Wefer, Gerold",2005,Holocene African droughts relate to eastern equatorial Atlantic cooling,Geology,MarineSediment,60,21770,Mg/Ca,139,5,www.ncdc.noaa.gov/paleo/study/11190,wave3,6.402579456
25,25,36.38,-7.0713,GeoB5901_2,GeoB5901_2.Kim.2004.lpd,-574,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Kim, Jung-Hyun; Rimbu, Norel; Lorenz, Stephan J.; Lohmann, Gerrit; Nam, Seung-Il; Schouten, Stefan; R _hlemann, Carsten; Schneider, Ralph R.",2004,North Pacific and North Atlantic sea-surface temperature variability during the Holocene,Quaternary Science Reviews,MarineSediment,1130,9920,alkenone,268,5,10.1594/PANGAEA.738435,wave3,30.48919226
26,26,20.2133,-18.4517,GeoB7926_2,GeoB7926_2.Kim.2012.lpd,-2500,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Kim, Jung-Hyun; Romero, Oscar E.; Lohmann, Gerrit; Donner, Barbara; Laepple, Thomas; Haam, Eddie; Sinninghe Damste, Jaap S.",2012,Pronounced subsurface cooling of North Atlantic waters off northwest Africa during Dansgaard   Oeschger interstadials,Earth and Planetary Science Letters,MarineSediment,226.61,48493.28,alkenone,274,5,10.1594/PANGAEA.861253,wave3,5.676795188
27,27,-18.565,37.38,GeoB9307_3,GeoB9307_3.Weldeab.2014.lpd,-542,Indian Ocean,Indian Ocean,"Weldeab, Syee; Lea, David W.; Oberh _nsli, Hedi; Schneider, Ralph R.",2014,Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17 kyr,"Palaeogeography, Palaeoclimatology, Palaeoecology",MarineSediment,100,17298,Mg/Ca,249,5,10.1594/PANGAEA.771395,wave3,14.47842772
28,28,-19.2018,37.0415,GeoB9310_4,GeoB9310_4.Weldeab.2014.lpd,-543,Indian Ocean,Indian Ocean,"Weldeab, Syee; Lea, David W.; Oberh _nsli, Hedi; Schneider, Ralph R.",2014,Links between southwestern tropical Indian Ocean SST and precipitation over southeastern Africa over the last 17 kyr,"Palaeogeography, Palaeoclimatology, Palaeoecology",MarineSediment,419.966,13958.43,Mg/Ca,128,5,www.ncdc.noaa.gov/paleo/study/22272,wave3,9.454543736
29,29,55.26,-26.725,GIK17049_6,GIK17049_6.Jung.1996.lpd,-3331,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Jung, Simon J.A.",1996,Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope,"Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der Nordliche Nordatlantik",MarineSediment,776,141157,d18O,230,5,10.1594/PANGAEA.136418,wave3,1.638398359
30,30,56.1633,-31.99,GIK17051_3,GIK17051_3.Jung.1996.lpd,-2295,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Jung, Simon J.A.",1996,Wassermassenaustausch zwischen NE-Atlantik und Nordmeer w _hrend der letzten 300.000/80.000 Jahre im Abbild stabiler 0- und C-isotope,"Berichte aus dem Sonderforschungsbereich 313, Ver _nderungen der Umwelt - Der Nordliche Nordatlantik",MarineSediment,859,84220,d18O,217,5,10.1594/PANGAEA.136420,wave3,2.603135759
