Time,South_Atlantic,S_Australia,China,C_Africa,Arabian_sea,W_Africa_coast,Scandinavia,Offshore_oregon,Caribbean,Tropical_E_Pacific,W_S_America,Antarctica,Indonesia,Philippines,Iceland,N_Atlantic,Alaska,Mediterranean,New_Zealand,Japan,Greenland,Global
2000,2.037761061,2.015929939,3.581138397,0.763437539,1.334267036,0.102608406,1.007614431,-0.320538164,0.600364477,0.338530889,2.253011057,1.510748778,0.486608785,0.825583644,1.029604781,3.261373404,-0.248133933,-1.187713034,3.533227506,-0.629124483,-1.060882453,0.43175797
2100,2.13183983,1.940275116,3.596832677,1.120849061,1.254191127,0.116781459,1.136546289,-0.220106469,1.172994647,0.317361147,2.299723426,1.312812658,0.543642468,0.933498687,1.649366059,3.202113774,-0.291361019,-1.213350758,3.015024068,-0.740016967,-0.207047501,-0.532969466
2200,2.021697782,1.979679233,3.525842958,1.576961584,1.222172545,0.209702882,1.207040805,0.013732693,1.026027048,0.374744856,2.298515095,1.639452196,0.463011781,0.786273794,1.360798972,2.950405512,-0.53619159,-1.56380282,3.110430202,-0.791325362,-1.554900453,0.76357509
2300,1.693705665,2.238735069,3.537888815,1.987435226,1.174558756,0.326015017,1.462947883,0.319183939,0.626763662,0.591141208,2.274771969,1.697059681,0.495956889,0.955263156,1.405781917,2.910862721,-0.547977877,-1.707324256,3.592518978,-0.660632213,-0.621444501,-0.039187713
2400,0.543376715,2.116117069,3.42499691,1.861894636,1.041268253,0.473524168,1.562482485,0.433239686,0.526679597,0.622439828,2.382357911,1.943979992,0.678671464,0.778064633,0.758219593,2.934712571,-0.448136362,-1.65518195,3.705473877,-0.797638662,-0.810863477,0.013224815
2500,1.454884792,1.946795069,3.130833767,1.768735184,0.77258612,0.531053464,1.156470458,0.370467434,0.315365839,0.621004251,2.128301972,1.709740933,0.427856257,0.954216639,1.358169922,2.938187513,-0.374291403,-1.616828484,3.332286503,-0.978015866,-2.437347834,1.459331968
2600,2.886044217,2.201700057,3.275153863,1.704642894,0.79398588,0.417697443,1.565489318,0.108409228,0.137943216,0.676063119,2.197553314,1.962634685,0.617688455,0.627557913,1.541358223,2.918037399,-0.406380449,-1.392385119,3.36301268,-0.869106866,-0.822344929,-0.046761937
2700,2.947659195,2.022655057,3.178832958,1.885791066,0.929882335,0.502531205,1.338154748,0.157432127,0.147321102,0.765373846,2.151749675,2.078214561,0.439663113,0.838328779,1.479164662,2.76134476,-0.247456778,-0.970998465,3.731924716,-0.729925988,-0.997138929,0.267212941
2800,1.551794322,1.974875057,2.925476815,1.998620238,1.001731086,0.388657393,1.274816954,0.057105165,0.260841843,0.543352333,2.180862676,1.498881618,0.55675242,0.96077183,1.013984293,2.159169344,-0.328293672,-0.774964891,3.552184669,-0.669306748,-2.198368572,1.529061824
2900,1.691366712,2.117398874,3.00537791,1.997207283,1.05265865,0.23432538,1.484662447,0.232774396,0.421157511,0.38082886,2.085374875,1.914805899,0.519983925,0.359156126,1.282669722,2.367579965,-0.378218673,-0.974432944,3.829629835,-0.660852877,-1.579085524,0.918232647
3000,2.259007988,2.086454843,2.667809767,1.9378722,0.921715127,0.617300343,1.219568798,0.29934553,0.479613158,0.186884305,2.091135134,2.830246773,0.579381524,0.457727738,1.324261781,2.595799883,-0.404422881,-1.045100871,4.103129166,-0.653033378,-0.324474477,-0.328558902
3100,2.810194192,1.902529812,2.654388863,1.790004161,0.757932437,0.632204373,1.512924067,0.113808971,0.390741225,0.373789877,2.056133833,2.671201346,0.469006369,0.514830579,1.523203725,2.686903195,-0.440489854,-1.120868779,4.018454709,-0.780370659,-1.156203477,0.375832818
3200,2.272561185,1.906678092,2.531594958,1.422274629,0.732593012,0.452488035,1.41257191,0.073782279,0.223381241,0.564483516,1.924160591,1.927056944,0.490551971,0.570334332,1.065515492,2.572674985,-0.473207438,-0.945686564,3.387020784,-0.874297232,-0.793121501,-0.081175731
3300,1.473482319,1.755688092,2.359382939,0.973321157,0.672505087,0.317938964,1.20121031,0.429448396,0.112490193,0.496255567,1.85726929,2.132104398,0.653735989,0.501879164,0.562086896,2.508018826,-0.613784186,-1.084095533,3.723768439,-0.624863912,-2.975187977,2.350324065
3400,2.218820732,1.461074078,2.09166392,0.727734389,0.791797162,0.347101616,1.275047068,0.688857003,0.006901125,0.200808439,1.808366781,1.754119022,0.624410602,0.386154355,0.28882258,2.542955988,-0.539816284,-1.254831738,2.814818424,-0.627864835,-1.672338072,1.044473237
3500,2.011760495,1.541029079,1.966290901,0.515718088,0.824721093,0.303630307,1.514241098,0.797925893,0.066320549,0.085502855,1.796526987,2.297545516,0.601400921,0.730207625,2.070168788,2.534070542,-0.43818996,-1.209452974,2.910835907,-0.595708629,-1.593365072,0.997656443
3600,1.679145174,1.580462814,1.647178882,0.331223647,0.878354893,0.105495878,1.412451449,0.599557934,0.089830024,-0.038816049,1.686664893,1.933321171,0.666486224,0.662871553,1.748832021,2.518335853,-0.408928629,-1.464977145,3.060317142,-0.761935267,-0.985836453,0.223901185
3700,2.302835615,1.366321968,1.485355863,0.287157855,0.898772848,0.099710267,1.388684608,0.606090448,0.148400215,0.009785147,1.767290639,1.814759723,0.429825209,0.528527619,1.436941784,2.499047531,-0.432003668,-1.499657565,3.213714812,-0.725275886,-2.615246477,1.889970591
3800,1.456364108,1.211690118,1.276312844,0.262310064,0.96349043,0.112605091,1.46585671,0.764676461,0.292486982,-0.004968735,1.757383245,2.346788437,0.434517233,0.477300511,0.821134845,2.60948698,-0.397464467,-1.350157068,3.083491358,-0.640708814,-1.305899072,0.665190258
3900,2.200019085,1.379679261,1.001941884,0.370695273,1.060004264,0.25153686,1.265259659,0.625801154,0.358403691,0.0125318,1.658556134,1.958179481,0.595383282,0.297960229,0.784584203,2.537418961,-0.444283247,-1.539533032,3.075169244,-0.783406342,-1.559094501,0.775688159
4000,2.357147443,1.133399411,0.762965865,0.202809132,1.100454851,0.073565302,1.102244815,0.680513582,0.409783977,0.104215888,1.725564192,2.82730052,0.393708468,0.352457755,0.769857867,2.522918918,-0.584762026,-1.471013968,3.726791318,-0.774918915,-1.861040001,1.086121086
4100,2.347229499,1.06201974,0.538203876,-0.090708918,0.807696189,-0.037453049,1.322223399,0.622036266,0.55044439,0.611863695,1.524014991,1.901691989,0.361729614,0.31247425,0.018792504,2.285725966,-0.710222272,-1.421773037,2.971070003,-0.644982498,-1.807082477,1.162099978
4200,2.317126975,1.058579203,0.165211886,-0.227243979,0.429297232,-0.007813207,1.02288976,0.667372554,0.66622545,0.804419192,1.561949189,2.075887515,0.385566023,0.268815382,0.212708608,4.209354416,-0.710709364,-1.603046913,2.977368313,-0.697007169,-1.734018953,1.037011784
4300,2.409270587,0.882194621,0.163879883,-0.309418304,-0.166752097,-0.042591955,1.303626282,0.756197061,0.691410758,0.682527424,1.389471547,1.552012574,0.286790452,-0.247892729,-0.096067305,3.650612834,-0.529009699,-1.572875319,2.718136351,-0.61412592,-1.671265048,1.057139128
4400,2.483403084,0.697266069,0.279537887,-0.142824737,-0.649729573,0.267104155,1.04131176,0.59233673,0.617542603,0.67348709,1.456116846,2.047520451,0.487627978,0.438375161,0.93537565,3.199881576,-0.554940291,-1.547497887,3.018278499,-0.583433629,-2.667606025,2.084172395
4500,2.402232443,0.898149516,0.135247884,-0.168811315,-1.032161998,0.126215274,1.140290224,0.430385166,0.490087707,0.534957456,1.471076804,2.052814187,0.563323137,0.417896974,0.31937767,2.733086338,-0.427646458,-1.658385933,2.963961847,-0.727510678,-1.171492453,0.443981775
4600,2.198168599,0.793595681,0.154324884,-0.303925215,-0.108942541,0.272918519,1.084793486,0.714411804,0.31666931,0.416214382,1.566138634,2.706140607,0.692700211,0.496176641,0.780710529,2.309990985,-0.466869683,-1.765782056,3.089657985,-0.592685729,-1.086218501,0.493532771
4700,2.756425938,0.976762745,0.153650887,-0.032604301,0.873409775,0.20411749,1.019734237,0.636676705,0.25979332,0.359148883,1.575349793,3.217122674,0.462823399,0.589630017,1.515467789,2.328017819,-0.426817154,-2.171542335,3.259707353,-0.611359539,-0.982718524,0.371358985
4800,2.253826514,0.777790808,0.168017886,0.086630597,0.783117901,0.010056458,1.258885199,0.796370904,0.270666157,0.235131065,1.505718223,2.641125646,0.441286244,0.57913587,0.752358627,3.004072965,-0.351331641,-1.912990494,2.944701211,-0.772142941,-1.688898881,0.91675594
4900,1.841317193,0.695691265,0.138280886,-0.224449011,0.601703383,-0.02510298,0.890251784,0.787046388,0.18862098,0.305619127,1.441104483,2.72142206,0.363348238,0.640253545,1.292062267,3.251263753,-0.644769599,-1.72659798,2.94553351,-0.780579251,-1.99132012,1.210740869
