Years BP,Weighted_Average,Weighted_1-Sigma,Weighted_upper,Weighted_lower
9800,0.173360096,0.443092633,0.610945562,-0.253293197
9900,0.120521348,0.408761083,0.526576981,-0.276357727
10000,0.126261354,0.365448049,0.490978508,-0.232311754
10100,0.097717255,0.3707358,0.468300853,-0.267173465
10200,0.071108042,0.36091397,0.427825555,-0.276320637
10300,0.061590588,0.373940681,0.430891061,-0.300038732
10400,0.036723432,0.413132782,0.447242278,-0.370000522
10500,0.026208668,0.380424361,0.375945844,-0.345695044
10600,-0.013601868,0.538444188,0.42875529,-0.498803566
10700,-0.054334278,0.604118517,0.449099765,-0.602826236
10800,-0.109824617,0.70764481,0.553238139,-0.804724833
10900,-0.153784642,0.649702905,0.489811646,-0.805797721
11000,-0.225916029,0.597411244,0.368532279,-0.822068993
11100,-0.283604753,0.689518814,0.405059679,-0.970988337
11200,-0.246743924,0.723610269,0.47482907,-0.971130801
11300,-0.25575582,0.810980596,0.55091541,-1.068235165
11400,-0.335321971,0.954127332,0.605740117,-1.289736039
11500,-0.387669302,0.940817575,0.524990109,-1.32248873
11600,-0.44630343,1.002759103,0.508832537,-1.433882206
11700,-0.566875536,1.114003366,0.482095728,-1.657329243
11800,-0.582353103,1.219355432,0.553288281,-1.771241737
11900,-0.800426366,1.224155041,0.304895309,-1.972541248
12000,-0.768865445,1.225217286,0.332494556,-1.942299431
12100,-0.834930354,1.347194107,0.402160015,-2.143806998
12200,-0.843878482,1.289989884,0.338146752,-2.096368963
12300,-0.86858527,1.397457242,0.429846929,-2.235423656
12400,-0.907979199,1.412853062,0.410590586,-2.291432054
12500,-1.025369229,1.336314333,0.231777985,-2.336790792
12600,-1.036757595,1.309454466,0.204930363,-2.327072859
12700,-1.130155534,1.30303318,0.124622733,-2.423669807
12800,-1.089117742,1.108365369,-0.004134009,-2.195164301
12900,-1.032386903,1.02695445,-0.014072246,-2.059491941
13000,-1.042290765,0.957435682,-0.091649395,-1.99610639
13100,-1.023362815,0.943318412,-0.088537201,-1.954994959
13200,-0.945744228,0.873729147,-0.080258138,-1.80517071
13300,-0.876646059,0.822032441,-0.062986094,-1.681380278
13400,-0.869386385,0.794784497,-0.081709077,-1.643418325
13500,-0.840067652,0.867297777,0.023261314,-1.68442255
13600,-0.925487633,0.830189269,-0.09761815,-1.72898757
13700,-0.884633353,0.740207376,-0.150411855,-1.586728792
13800,-0.95333234,0.746092373,-0.213777192,-1.651319034
13900,-0.938039254,0.836540869,-0.100662924,-1.730557267
14000,-1.020722324,0.833554853,-0.174751028,-1.830571888
14100,-0.974232313,0.72676757,-0.234738817,-1.689727288
14200,-0.982597661,0.793334191,-0.177019612,-1.76672862
14300,-0.978592614,0.823460967,-0.143286143,-1.792496961
14400,-1.031759201,0.852543178,-0.167097177,-1.8750475
14500,-1.086036534,0.946203048,-0.127693549,-2.023348929
14600,-1.296828701,1.27483166,-0.011865455,-2.566273947
14700,-1.387499492,1.4968629,0.111420197,-2.88045489
14800,-1.543580102,1.451718061,-0.103226719,-2.990343167
14900,-1.536965944,1.486906303,-0.067307104,-3.019556053
15000,-1.632381941,1.588651938,-0.068808064,-3.216663698
15100,-1.645264933,1.604156362,-0.073694221,-3.244485862
15200,-1.607506892,1.650622564,-0.009933633,-3.246865317
15300,-1.648562995,1.641316743,-0.093393795,-3.262144616
15400,-1.639847905,1.701640056,-0.031441377,-3.312124466
15500,-1.66919197,1.704641657,-0.043749182,-3.353891785
15600,-1.735180257,1.684868754,-0.118406272,-3.406598264
15700,-1.78507904,1.762523269,-0.102164224,-3.529913582
15800,-1.73378211,1.702825096,-0.138549305,-3.404061293
15900,-1.747928417,1.738336608,-0.158473116,-3.434248327
16000,-1.769004488,1.742070578,-0.142573828,-3.47305062
16100,-1.828976996,1.774831351,-0.153178467,-3.574064352
16200,-1.917929892,1.761029827,-0.234204345,-3.650690168
16300,-2.040661378,1.845330093,-0.292536476,-3.854142355
16400,-2.020092142,1.953467141,-0.173451422,-3.94034455
16500,-1.978241118,1.961119176,-0.128183102,-3.901753595
16600,-2.009597007,1.914733819,-0.18885185,-3.883493014
16700,-2.06877405,1.839701121,-0.312470708,-3.875145482
16800,-2.099851616,1.72537334,-0.454297557,-3.798994332
16900,-2.194901821,1.679927245,-0.571644221,-3.851289193
17000,-2.222347082,1.623546625,-0.644181552,-3.817374127
17100,-2.26650072,1.625981608,-0.678861778,-3.864108275
17200,-2.238936425,1.647236001,-0.623261114,-3.858180888
17300,-2.288482195,1.652285234,-0.661783849,-3.912134844
17400,-2.389612545,1.678114966,-0.731225588,-4.038285108
17500,-2.348246955,1.573130576,-0.792135486,-3.887975336
17600,-2.336909306,1.549075405,-0.800809905,-3.848484424
17700,-2.296842166,1.43232047,-0.871738907,-3.685499385
17800,-2.273203884,1.344673706,-0.932128518,-3.564491088
17900,-2.236449412,1.292433383,-0.950609652,-3.455232229
18000,-2.206153864,1.264715382,-0.958108136,-3.372448799
18100,-2.239016659,1.327053466,-0.925836587,-3.470965758
18200,-2.295452699,1.335693073,-0.96661324,-3.550247637
18300,-2.351888109,1.42685315,-0.924294545,-3.711940165
18400,-2.358921476,1.460522912,-0.896552905,-3.743704076
18500,-2.397265456,1.545596938,-0.846751078,-3.85925886
18600,-2.405892537,1.531382037,-0.864870558,-3.855342925
18700,-2.37546026,1.57020716,-0.787047374,-3.878336139
18800,-2.414211285,1.496496511,-0.893618103,-3.856115684
18900,-2.363425075,1.517389828,-0.827467337,-3.807410477
19000,-2.390738662,1.588214801,-0.790368118,-3.886931296
19100,-2.47733845,1.554644577,-0.916935274,-3.92778859
19200,-2.513376437,1.583792374,-0.923688785,-3.999826172
