"","Years","Model","Proxy"
"188",18800,-5.12625634194464,-3.10962410231717
"189",18900,-5.09450688213786,-3.04420893988335
"190",19000,-5.03363795119275,-3.07939019739798
"191",19100,-4.92806168405341,-3.16988757973961
"192",19200,-4.90348418466048,-3.21327933768076
"193",19300,-4.95725914564892,-3.16748397159307
"194",19400,-4.91680211777117,-3.22051760593293
"195",19500,-4.90680315524041,-3.22872132684064
"196",19600,-4.91635018124842,-3.1947777139082
"197",19700,-4.88696885637783,-3.1174730191223
"198",19800,-4.86981272114632,-3.07657432041535
"199",19900,-4.85648235965445,-3.06087842552962
"200",20000,-4.8701030171449,-3.03498106017585
"201",20100,-4.9637546073169,-3.05949926211504
"202",20200,-5.01508120000164,-3.13456853559823
"203",20300,-5.10581365906716,-3.2616676692555
"204",20400,-4.98866352598743,-3.33028372869572
"205",20500,-5.03776360112036,-3.3026105832922
"206",20600,-5.06283731900272,-3.14894742774108
"207",20700,-5.08665648636772,-3.15033882504162
"208",20800,-5.07264282891421,-3.18951469711109
"209",20900,-5.072862379987,-3.21886010877124
"210",21000,-5.0452409986301,-3.25542460234534
"211",21100,-5.03666974703294,-3.29785596019166
"212",21200,-5.01181702156071,-3.33640351903197
"213",21300,-4.96278973701711,-3.39055799676459
"214",21400,-4.97018355281322,-3.39218191468004
"215",21500,-4.97144818972551,-3.34618936181093
"216",21600,-4.98686535655728,-3.35278567444697
"217",21700,-4.98465913675719,-3.35189544955536
"218",21800,-4.96533409698648,-3.24693435421727
"219",21900,-4.96727538006072,-3.28356563238096
"220",22000,-4.95690322825196,-3.30110424411903
