,Years,Model,Proxy,Diff
119,11900,-0.625463235,-1.037882438,0.412419203
120,12000,-0.69735514,-0.997440411,0.300085272
121,12100,-0.879577648,-1.083145668,0.20356802
122,12200,-0.910391217,-1.094753972,0.184362755
123,12300,-0.8540132,-1.126805807,0.272792607
124,12400,-0.833220059,-1.177911104,0.344691045
125,12500,-0.826355168,-1.330199858,0.50384469
126,12600,-0.764652754,-1.338868796,0.574216043
127,12700,-0.731327617,-1.459482898,0.728155281
128,12800,-0.683806936,-1.406486693,0.722679757
129,12900,-0.719275702,-1.333224485,0.613948783
130,13000,-0.740742577,-1.346014333,0.605271755
131,13100,-0.734101688,-1.321570777,0.587469089
132,13200,-0.784418766,-1.221334131,0.436915365
133,13300,-0.815689541,-1.132100754,0.316411213
134,13400,-0.794437885,-1.122725609,0.328287724
135,13500,-0.836359662,-1.084863397,0.248503735
136,13600,-0.862640461,-1.195174764,0.332534303
137,13700,-0.85756609,-1.142415545,0.284849455
138,13800,-0.973616796,-1.231133419,0.257516623
139,13900,-1.158863769,-1.211383927,0.052520158
140,14000,-1.661596603,-1.304611135,-0.356985468
141,14100,-1.866740205,-1.245191069,-0.621549135
142,14200,-1.630677588,-1.255883033,-0.374794555
143,14300,-1.040850142,-1.250764082,0.209913939
144,14400,-0.723220441,-1.322300379,0.599079938
145,14500,-0.885021402,-1.391862092,0.50684069
146,14600,-1.057114524,-1.664150799,0.607036276
147,14700,-1.294476866,-1.787919233,0.493442367
148,14800,-1.48206082,-1.989043289,0.506982469
149,14900,-1.520915077,-1.980520344,0.459605267
150,15000,-1.603586288,-2.09318642,0.489600132
151,15100,-1.605554139,-2.109706147,0.504152008
152,15200,-1.683589087,-2.061289404,0.377700317
153,15300,-1.768508833,-2.123431058,0.354922225
154,15400,-1.846994852,-2.112205589,0.265210737
155,15500,-1.920811271,-2.150002203,0.229190932
156,15600,-1.986951893,-2.234998396,0.248046503
157,15700,-2.059224833,-2.299270508,0.240045676
158,15800,-2.085451557,-2.233197513,0.147745956
159,15900,-2.176555034,-2.251418659,0.074863625
160,16000,-2.210624745,-2.278565686,0.067940941
161,16100,-2.300572709,-2.355813256,0.055240547
162,16200,-2.363097684,-2.470389007,0.107291323
163,16300,-2.430242748,-2.62847326,0.198230512
164,16400,-2.492784945,-2.601979061,0.109194116
165,16500,-2.561592844,-2.548072863,-0.013519981
166,16600,-2.570174811,-2.588460805,0.018285994
167,16700,-2.629759314,-2.664683778,0.034924463
168,16800,-2.681566537,-2.704713228,0.023146691
