id,sitename,filename,lat,lon,elevation,country,gcmd_location,author,pub_year,title,journal
18,AMP112,AMP112.vanderBilt.2016.lpd,79.77,10.74,35,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,"van der Bilt, Willem G.M.; D'Andrea, William J.; Bakke, Jostein; Balascio, Nicholas L.; Werner, Johannes P.; Gjerde, Marthe; Bradley, Raymond S.",2018,Alkenone-based reconstructions reveal four-phase Holocene temperature evolution for high arctic Svalbard,Quaternary Science Reviews
19,Atocas,Atocas.Gauthier.1981.lpd,45.54,-73.31,114,North America>Canada>Quebec,North America>Canada>Quebec,"Gauthier, R.",1981,Histoire de la colonisation vegetale postglaciaire des Monteregiennes: Deux sites du mont Saint-Bruno,NA
20,Aweng Co,AwengCo.Li.2017.lpd,32.75,81.67,4427,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Li, Xiumei; Wang, Mingda; Zhang, Yuzhi; Lei, Li; Hou, Juzhi",2017,Holocene climatic and environmental change on the western Tibetan Plateau revealed by glycerol dialkyl glycerol tetraethers and leaf wax deuterium-to-hydrogen ratios at Aweng Co,Quaternary Research
21,Baie de Seine estuary,BaiedeSeineestuary.Garnaud.2003.lpd,49.42,-0.03,0,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Garnaud, S̩bastien; Lesueur, Patrick; Clet, Martine; Lesourd, Sandric; Garlan, Thierry; Lafite, Robert; Brun-Cottan, Jean-Claude",2003,"Holocene to modern fine-grained sedimentation on a macrotidal shoreface-to-inner-shelf setting (eastern Bay of the Seine, France)",Marine Geology
22,Banks Island -12,BanksIsland-12.Gajewski.2000.lpd,72.37,-119.83,220,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Gajewski, K; Mott, R J; Ritchie, J C; Hadden, K",2000,"Holocene vegetation history of Banks Island, Northwest Territories, Canada",Canadian Journal of Botany
23,Banks Island -15,BanksIsland-15.Gajewski.2000.lpd,73.53,-120.22,120,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Gajewski, K; Mott, R J; Ritchie, J C; Hadden, K",2000,"Holocene vegetation history of Banks Island, Northwest Territories, Canada",Canadian Journal of Botany
24,Basa de la Mora Lake,BasadelaMoraLake.Tarrats.2018.lpd,42.5445,0.326,1914,Europe>Southern Europe>Spain,Europe>Southern Europe>Spain,"Tarrats, Pol; Heiri, Oliver; Valero-Garc̩s, Blas; Ca̱edo-Arg _elles, Miguel; Prat, Narc _s; Rieradevall, Maria; Gonz  lez-Samp̩riz, Pen̩lope",2018,Chironomid-inferred Holocene temperature reconstruction in Basa de la Mora Lake (central Pyrenees),The Holocene
25,Basse-Ville,Basse-Ville.Voeltzel.1987.lpd,47.19,-1.86,1,Europe>Western Europe>France,Europe>Western Europe>France,"Voeltzel, D.",1987,Recherches pollenanalytiques sur la vegetation holocene de la plaine alluviale de l'estuaire de la Loire et des coteaux environnants,NA
26,Bastien,Bastien.Bennett.1987.lpd,46.4,-78.92,305,North America>Canada>Ontario,North America>Canada>Ontario,"Bennett, K. D.",1987,Holocene history of forest trees in southern Ontario,Canadian Journal of Botany
27,Battle Ground,BattleGround.Whitlock.1985.lpd,45.8,-122.49,155,North America>United States Of America>Washington,North America>United States Of America>Washington,"Barnosky, C. W.",1985,"Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington",Geologial Society of America Bulletin
28,Beaverhouse,Beaverhouse.Ritchie.1976.lpd,54.74,-101.68,305,North America>Canada>Manitoba,North America>Canada>Manitoba,"Ritchie, J. C.",1976,The late-Quaternary vegetational history of the western interior of Canada,Canadian Journal of Botany
29,Bebrukas Lake,BebrukasLake.Shulija.1967.lpd,54.09,24.12,149,Europe>Northern Europe>Lithuania,Europe>Northern Europe>Lithuania,"Shulija, K.S.; Lujanas, V.J.; Kibilda, Z.A.; Banys, J.J.; Genutiene, I.K.",1967,Stratigraphy and chronology of lacustrine and bog deposits of the Bebrukas lake hollow,"Trudi Instituta Geologiyi, Vilnius"
30,Beef Pasture,BeefPasture.Petersen.1985.lpd,37.47,-108.16,3060,North America>United States Of America>Colorado,North America>United States Of America>Colorado,"Petersen, K.L.",1985,"Palynology in Montezuma County, southwestern Colorado: The local history of pinyon pine (Pinus edulis)",NA
31,Berkut,Berkut.Ilyashuk.2005.lpd,66.34,36.66,25,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Ilyashuk, Elena A.; Ilyashuk, Boris P.; Hammarlund, Dan; Larocque, Isabelle",2005,"Holocene climatic and environmental changes inferred from midge records (Diptera: Chironomidae, Chaoboridae, Ceratopogonidae) at Lake Berkut, southern Kola Peninsula, Russia",The Holocene
32,Berry,Berry.Whitehead.1979.lpd,42.5,-73.32,600,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Whitehead, Donald R.",1979,"Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts",Quaternary Research
33,BI2,BI2Lake.Gajewski.1992.lpd,57.12,-76.38,210,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Garralla, Silvina",1992,"Holocene vegetation histories from three sites in the tundra of northwestern Quebec, Canada",Arctic and Alpine Research
34,Bigland Tarn,BiglandTarn.Barber.2013.lpd,54.24,-2.99,160,Atlantic Ocean>North Atlantic Ocean>North Sea,Atlantic Ocean>North Atlantic Ocean>North Sea,"Barber, Keith; Brown, Alastair; Langdon, Peter; Hughes, Paul",2013,"Comparing and cross-validating lake and bog palaeoclimatic records: A review and a new 5,000 year chironomid-inferred temperature record from northern England",Journal of Paleolimnology
35,Billys,Billys.Jacobson.1975.lpd,46.27,-94.55,383,North America>United States Of America>Minnesota,North America>United States Of America>Minnesota,"Jacobson, G.L., Jr.",1975,A palynological study of the history and ecology of white pine in Minnesota,NA
36,Biskupinskie Lake,BiskupinskieLake.Noryskiewicz.1995.lpd,52.78,17.73,80,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Noryskiewicz, B.",1995,"Zmiany szaty roslinnej okolic Jeziora Biskupinskiego pod wplywem czynnikow naturalnych i antropogenicznych w poznym glacjale i holocenie [Changes in vegetation of the Biskupin (Biskupinskie) lake area during the Late-Glacial and the Holocene, caused by natural and anthropogenic factors]",NA
37,Bjornfjell,Bjornfjell.Brooks.2006.lpd,68.43,18.07,510,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Brooks, Stephen J.",2006,Fossil midges (Diptera: Chironomidae) as palaeoclimatic indicators for the Eurasian region,Quaternary Science Reviews
38,Bledowo Lake,BledowoLake.Binka.1988.lpd,52.55,20.67,78,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Binka, K.; Madeyska, T.; Marciniak, B.; Seroczynska, K.; Wieckowski, K.",1988,Bledowo lake (central Poland): History of vegetation and lake development during the last 12 kyr,Bull. Acad. Polon. Sci.
39,Blood Pond,BloodPond.Marsicek.2013.lpd,42.08,-71.96,214,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Marsicek, Jeremiah P.; Shuman, Bryan; Brewer, Simon; Foster, David R.; Oswald, W. Wyatt",2013,Moisture and temperature changes associated with the mid-Holocene Tsuga decline in the northeastern United States,Quaternary Science Reviews
40,Lake BN7,BN7Lake.Gajewski.1991.lpd,55.01,-73.52,395,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.",1991,Repr̩sentation pollinique actuelle    la limite des arbres au Nouveau-Qu̩bec,Canadian Journal of Earth Sciences
41,Boehnigsee Goldmoos,BoehnigseeGoldmoos.Markgraf.1969.lpd,46.26,7.84,2100,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Markgraf, Vera",1969,Moorkundliche und vegetationsgeschichtliche Untersuchungen an einem Moorsee an der Waldgrenze im Wallis,Botanische Jahrbuecher
42,Lake Bolshie Toroki,BolshieToroki.Zhilich.2017.lpd,55.39,80.62,128,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Zhilich, Snezhana; Rudaya, Natalia; Krivonogov, Sergei; Nazarova, Larisa; Pozdnyakov, Dmitry",2017,"Environmental dynamics of the Baraba forest-steppe (Siberia) over the last 8,000 years and their impact on the types of economic life of the population",Quaternary Science Reviews
43,Boone,Boone.White.1986.lpd,55.58,-119.43,872,North America>Canada>Alberta,North America>Canada>Alberta,"White, James M.; Mathewes, Rolf W.",1986,"Postglacial vegetation and climatic change in the upper Peace River district, Alberta",Canadian Journal of Botany
44,Border Beacon,BorderBeacon.Lamb.1985.lpd,55.33,-63.2,470,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Lamb, H. F.",1985,Palynological evidence for postglacial change in the position of tree limit in Labrador,Ecological Monographs
45,Boundary Pond,BoundaryPond.Mott.1977.lpd,45.57,-70.68,603,North America>United States Of America>Maine,North America>United States Of America>Maine,"Mott, R. J.",1977,Late-Pleistocene and Holocene palynology in southeastern Qu̩bec,G̩ographie physique et Quaternaire
46,BrayaSo.vonGunten.2012,BrayaSo.vonGunten.2012.lpd,66.9875,-51.0333,170,North America>Greenland,North America>Greenland,"von Gunten, Lucien; D'Andrea, William J.; Bradley, Raymond S.; Huang, Yongsong",2012,Proxy-to-proxy calibration: Increasing the temporal resolution of quantitative climate reconstructions,Scientific Reports
47,Breitnau-Neuhof,Breitnau-Neuhof.Roesch.2009.lpd,47.93,8.07,986,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Roesch, M.",2009,Zur vorgeschichtlichen Besiedlung und Landnutzung im noerdlichen Schwarzwald aufgrund vegetationsgeschichtlicher Untersuchungen in zwei Karseen. [Prehistoric settlement and land use history of the Northern Black Forest as indicated by pollenanalytical investigations in two cirque lakes],Mitt. Ver. Forstl. Standortskunde u. Forstpflanzenzuechtung
48,BS79-38,BS79_38.Cacho.2001.lpd,38.4,13.6,-1489,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,"Cacho, Isabel",2001,"Variability of the western Mediterranean Sea surface temperature during the last 25,000 years and its connection with the Northern Hemisphere climatic changes",Paleoceanography
49,Buntes Moor,BuntesMoor.Weirich.1980.lpd,47,11.14,2285,Europe>Western Europe>Austria,Europe>Western Europe>Austria,"Weirich, J.; Bortenschlager, S.",1980,Beitraege zur Vegetationsgeschichte Tirols III: Stubaier Alpen - Zillertaler Alpen,Ber. nat.-med. Verein Innsbruck
50,Cadagno,Cadagno.Niemann.2012.lpd,46.5507,8.7139,1921,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Niemann, H.; Stadnitskaia, A.; Wirth, S. B.; Gilli, A.; Anselmetti, F. S.; Sinninghe Damst̩, J. S.; Schouten, S.; Hopmans, E. C.; Lehmann, M. F.",2012,Bacterial GDGTs in Holocene sediments and catchment soils of a high alpine lake: application of the MBT/CBT-paleothermometer,Climate of the Past
51,Camp 11,Camp11.Brubaker.1975.lpd,46.67,-88.02,549,North America>United States Of America>Michigan,North America>United States Of America>Michigan,"Brubaker, Linda B.",1975,Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan,Quaternary Research
52,Cango Cave,CangoCave.Talma.1992.lpd,-33.3926,22.214,670,Africa>Southern Africa>South Africa,Africa>Southern Africa>South Africa,"Talma, A.S.; Vogel, John C.",1992,"Late Quaternary paleotemperatures derived from a speleothem from Cango Caves, Cape Province, South Africa",Quaternary Research
53,Cape Ghir,CapeGhir.Kim.2007.lpd,30.85,-10.2685,-900,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Kim, Jung-Hyun; Meggers, Helge; Rimbu, Norel; Lohmann, Gerrit; Freudenthal, Tim; M _ller, Peter J.; Schneider, Ralph R.",2007,Impacts of the North Atlantic gyre circulation on Holocene climate off northwest Africa,Geology
54,Caribou-Qubec,Caribou-Qubec.Jett.1992.lpd,48.2,-64.94,116,North America>Canada>Quebec,North America>Canada>Quebec,"Jett̩, H̩l̬ne; Richard, Pierre J. H.",1992,"Contribution    l ۪histoire postglaciaire de la v̩g̩tation en Gasp̩sie m̩ridionale, Qu̩bec",G̩ographie physique et Quaternaire
55,Caribou Hill,CaribouHill.Lamb.1985.lpd,55.67,-63.25,475,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Lamb, H. F.",1985,Palynological evidence for postglacial change in the position of tree limit in Labrador,Ecological Monographs
56,Carleton Lake,CarletonLake.Upiter.2014.lpd,64.2572,-110.1008,420,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Upiter, Lindsay M.; Vermaire, Jesse C.; Patterson, R. Timothy; Crann, Carley A.; Galloway, Jennifer M.; Macumber, Andrew L.; Neville, Lisa A.; Swindles, Graeme T.; Falck, Hendrik; Roe, Helen M.; Pisaric, Michael F. J.",2014,"Middle to late Holocene chironomid-inferred July temperatures for the central Northwest Territories, Canada",Journal of Paleolimnology
57,Carp,Carp.Whitlock.1985.lpd,45.92,-120.88,714,North America>United States Of America>Washington,North America>United States Of America>Washington,"Barnosky, Cathy W.",1985,"Late Quaternary vegetation in the southwestern Columbia Basin, Washington",Quaternary Research
58,Cascade Fen,CascadeFen.Maher.1963.lpd,37.65,-107.81,2690,North America>United States Of America>Colorado,North America>United States Of America>Colorado,"Maher, Louis J.",1963,"Pollen analyses of surface materials from the southern San Juan Mountains, Colorado",Geological Society of America Bulletin
59,Castor,Castor.Larouche.NA.lpd,46.61,-73,220,North America>Canada>Quebec,North America>Canada>Quebec,NA,NA,NA,NA
60,CC04,CC04.Gibb.2015.lpd,61.4639,-58.0365,-2674,Atlantic Ocean>North Atlantic Ocean>Davis Strait,Atlantic Ocean>North Atlantic Ocean>Davis Strait,"Gibb, Olivia T; Steinhauer, Sarah; Fr̩chette, Bianca; de Vernal, Anne; Hillaire-Marcel, Claude",2015,Diachronous evolution of sea surface conditions in the Labrador Sea and Baffin Bay since the last deglaciation,The Holocene
61,Century,Century.Johnsen.1972.lpd,77.17,-61.13,1890,North America>Greenland,North America>Greenland,"Johnsen, S. J.; Dansgaard, W.; Clausen, H. B.; Langway, C. C.",1972,Oxygen isotope profiles through the Antarctic and Greenland Ice Sheets,Nature
62,CF8,CF8.Axford.2011.lpd,70.5569,-68.9519,195,North America>Canada>Nunavu,North America>Canada>Nunavu,"Axford, Y.; Briner, J. P.; Francis, D. R.; Miller, G. H.; Walker, I. R.; Wolfe, A. P.",2011,"Chironomids record terrestrial temperature changes throughout Arctic interglacials of the past 200,000 yr",Geological Society of America Bulletin
63,Lake CH2,CH2.Garralla.1992.lpd,49.68,-74.58,830,North America>Canada>Quebec,North America>Canada>Quebec,"Garralla, Silvina; Gajewski, K.",1992,"Holocene vegetation history of the boreal forest near Chibougamau, central Quebec",Canadian Journal of Botany
64,Challa Lake,ChallaLake.Damst.2012.lpd,-3.3167,37.7,880,Africa>Eastern Africa>Kenya,Africa>Eastern Africa>Kenya,"Sinninghe Damst̩, Jaap S.; Ossebaar, Jort; Schouten, Stefan; Verschuren, Dirk",2012,Distribution of tetraether lipids in the 25-ka sedimentary record of Lake Challa: Extracting reliable TEX86 and MBT/CBT palaeotemperatures from an equatorial African lake,Quaternary Science Reviews
65,Chaohu,Chaohu.Li.2018.lpd,31.56,117.39,10,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Li, Jianyong; Dodson, John; Yan, Hong; Wang, Weiming; Innes, James B.; Zong, Yongqiang; Zhang, Xiaojian; Xu, Qinghai; Ni, Jian; Lu, Fengyan",2018,Quantitative Holocene climatic reconstructions for the lower Yangtze region of China,Climate Dynamics
66,Churruca,Churruca.Caniupan.2014.lpd,-53.03,-73.9,-80,South America>Chile,South America>Chile,"Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,Holocene sea-surface temperature variability in the Chilean fjord region,Quaternary Research
67,Clapeyret,Clapeyret.deBeaulieu.1977.lpd,44.15,7.24,2260,Europe>Western Europe>France,Europe>Western Europe>France,"de Beaulieu, J.L.",1977,Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices,NA
68,Clarks Junction,ClarksJunction.Wilmshurst.2007.lpd,-45.72,170.12,560,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP",Journal of Quaternary Science
69,Clear Lake IA,ClearLakeIA.Baker.1992.lpd,43.13,-93.43,374,North America>United States Of America>Iowa,North America>United States Of America>Iowa,"Baker, Richard G.; Maher, Louis J.; Chumbley, Craig A.; Van Zant, Kent L.",1992,Patterns of holocene environmental change in the midwestern United States,Quaternary Research
70,Clear Lake IN,ClearLakeIN.Bailey.1972.lpd,41.64,-86.54,244,North America>United States Of America>Indiana,North America>United States Of America>Indiana,"Bailey, R.E.",1972,Late- and postglacial environmental changes in northwestern Indiana,NA
71,Clear Pond,ClearPond.Hussey.1993.lpd,33.8,-78.95,10,North America>United States Of America>South Carolina,North America>United States Of America>South Carolina,"Hussey, T.C.",1993,"A 20,000-year history of vegetation and climate at Clear Pond, northeastern South Carolina",NA
72,CN01,CN01.Cheung.2017.lpd,30.5619,91.1778,4280,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Cheung, Man-Ching; Zong, Yongqiang; Zheng, Zhuo; Liu, Zhonghui; Aitchison, Jonathan C",2017,Holocene temperature and precipitation variability on the central Tibetan Plateau revealed by multiple palaeo-climatic proxy records from an alpine wetland sequence,The Holocene
73,Coghill,Coghill.King.1986.lpd,53.9,-66.77,530,America>Canada>Newfoundland,America>Canada>Newfoundland,"King, G.A.",1986,Deglaciation and vegetation history of western Labrador and adjacent Quebec,NA
74,Compass,Compass.Macpherson.1986.lpd,50.03,-56.2,236,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Dyer, A.K.",1986,"A palynological investigation of the Late Quaternary vegetational history of the Baie Verte Peninsula, northcentral Newfoundland",NA
75,Copley,Copley.Fall.1997.lpd,38.87,-107.08,3250,North America>United States Of America>Colorado,North America>United States Of America>Colorado,"Fall, Patricia L.",1997,"Timberline fluctuations and late Quaternary paleoclimates in the Southern Rocky Mountains, Colorado",Geological Society of America Bulletin
76,Coppermine Saddleback,CoppermineSaddleback.Nichols.1975.lpd,67.83,-115.32,43,North America>Canada>Nunavut,North America>Canada>Nunavut,"Nichols, H.",1975,"Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada",NA
77,Cottonwood Lake,CottonwoodLake.Grimm.1987.lpd,44.84,-99.91,549,North America>United States Of America>South Dakota,North America>United States Of America>South Dakota,"Barnosky, C.W.; Grimm, E.C.; Wright, H.E., Jr.",1987,Towards a postglacial history of the northern Great Plains: A review of the paleoecologic problems,Annals of the Carnegie Museum
78,Cottonwood Pass Pond,CottonwoodPassPond.Fall.1997.lpd,38.83,-106.41,3670,North America>United States Of America>Colorado,North America>United States Of America>Colorado,"Fall, Patricia L.",1997,"Timberline fluctuations and late Quaternary paleoclimates in the Southern Rocky Mountains, Colorado",Geological Society of America Bulletin
79,Cranberry,Cranberry.McAndrews.NA.lpd,44.1,-78.1,170,North America>Canada>Ontario,North America>Canada>Ontario,NA,NA,NA,NA
80,Dajiuhu Peatland Zk-3,DajiuhuPeatland.Huang.2013.lpd,31.4667,110,1700,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Huang, Xianyu; Meyers, Philip A; Jia, Chengling; Zheng, Min; Xue, Jiantao; Wang, Xinxin; Xie, Shucheng",2013,Paleotemperature variability in central China during the last 13 ka recorded by a novel microbial lipid proxy in the Dajiuhu peat deposit,The Holocene
81,DANA12_11_2_GC01,DANA12_11_2_GC01.VanNieuwenhove.2018.lpd,61.6089,-20.7027,-2120,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Van Nieuwenhove, Nicolas; Pearce, Christof; Knudsen, Mads Faurschou; R  y, Hans; Seidenkrantz, Marit-Solveig",2018,Meltwater and seasonality influence on Subpolar Gyre circulation during the Holocene,"Palaeogeography, Palaeoclimatology, Palaeoecology"
82,Darzlubie Forest,DarzlubieForest.Polska-JasiewiczOwa.1996.lpd,54.7,18.17,40,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Polska-Jasiewicz Owa, M.; Latalowa, M.",1996,Palaeoecological events during the last 15000 years: Regional syntheses of palaeoecological studies of lakes and mires in Europe,Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe
83,Davis Lake,DavisLake.Barnosky.1981.lpd,42.14,-73.41,214,NA,North America>United States Of America>Massachusetts,"Barnosky, Cathy W.",1981,"A record of late Quaternary vegetation from Davis Lake, southern Puget Lowland, Washington",Quaternary Research
84,Decoy,Decoy.Szeicz.1991.lpd,43.23,-80.37,260,North America>Canada>Ontario,North America>Canada>Ontario,"Szeicz, J. M.; MacDonald, G. M.",1991,Postglacial vegetation history of oak savanna in southern Ontario,Canadian Journal of Botany
85,Delorme 1,Delorme1.Bouchard.1982.lpd,54.42,-69.92,513,North America>Canada>Quebec,North America>Canada>Quebec,"Richard, P.J.H.",1981,Paleophytogeographie postglaciaire en Ungava par l'analyse pollinique,NA
86,Delorme 2,Delorme2.Bouchard.1982.lpd,54.42,-69.93,538,North America>Canada>Quebec,North America>Canada>Quebec,"Richard, P.J.H.",1981,Paleophytogeographie postglaciaire en Ungava par l'analyse pollinique,NA
