id,sitename,filename,lat,lon,elevation,country,gcmd_location,author,pub_year,title,journal
1,117_723A,117_723A.Godad.2011.lpd,18.0518,57.609,-806,Indian Ocean>Arabian Sea,Indian Ocean>Arabian Sea,"Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",2011,Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season,Marine Micropaleontology
2,2005-804-006,2005-804-006.Ledu.2010.lpd,68.9925,-106.5735,-118,Arctic Ocean,Arctic Ocean,"Ledu, David; Rochon, Andr̩; de Vernal, Anne; Barletta, Francesco; St-Onge, Guillaume",2010,"Holocene sea ice history and climate variability along the main axis of the Northwest Passage, Canadian Arctic",Paleoceanography
3,Lake 31,31Lake.Eisner.1995.lpd,67.05,-50.47,115,Atlantic Ocean>North Atlantic Ocean>Davis Strait,Atlantic Ocean>North Atlantic Ocean>Davis Strait,"Eisner, Wendy R.; Țrnqvist, Torbj̦rn E.; Koster, Eduard A.; Bennike, Ole; van Leeuwen, Jacqueline F.N.",1995,Paleoecological studies of a Holocene lacustrine record from the Kangerlussuaq (S  ndre Str  mfjord) region of west Greenland,Quaternary Research
4,3M Pond,3MPond.Pellatt.2000.lpd,49.9833,-121.2167,1950,North America>Canada>British Columbia,North America>Canada>British Columbia,"Pellatt, Marlow G.; Smith, Michael J.; Mathewes, Rolf W.; Walker, Ian R.; Palmer, Samantha L.",2000,"Holocene treeline and climate change in the subalpine zone near Stoyoma Mountain, Cascade Mountains, southwestern British Columbia, Canada","Arctic, Antarctic, and Alpine Research"
5,Abalone,Abalone.Cole.1994.lpd,33.96,-119.98,0,North America>United States Of America>California,North America>United States Of America>California,"Cole, Kenneth L.; Liu, Geng-Wu",1994,"Holocene paleoecology of an estuary on Santa Rosa Island, California",Quaternary Research
6,Adelaide Tarn,AdelaideTarn.Jara.2015.lpd,-40.9333,172.5333,1250,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"Jara, Ignacio A.; Newnham, Rewi M.; Vanderfoes, Marcus J.; Foster, Courtney R.; Lowe, David J.; Wilmshurst, Janet M.; Moreno, Patricio I.; Renwick, James A.; Homes, Aline M.",2015,"Pollen-climate reconstruction from northern South Island, New Zealand (41°S), reveals varying high- and low-latitude teleconnections over the last 16 000 years",Journal of Quaternary Science
7,Agassiz,Agassiz.Lecavalier.2017.lpd,46.6814,7.9775,1935,North America>Canada>Nunavut,North America>Canada>Nunavut,"Lecavalier, Benoit S.; Fisher, David A.; Milne, Glenn A.; Vinther, Bo M.; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Brittany; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur S.",2017,High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution,Proceedings of the National Academy of Sciences
8,Ageroeds Mosse,AgeroedsMosse.Nilsson.1964.lpd,55.83,13.42,58,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Nilsson, T.",1964,Standard pollen diagramme und C14 datiengen aus dem Ageroeds mosse in mittleren schonen,Lunds Universitets Arsskrift N.F. 2
9,Ajax Bog,AjaxBog.Wilmshurst.2007.lpd,-46.42,169.28,680,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP",Journal of Quaternary Science
10,Alanen Laanijarvi,AlanenLaanijarvi.Heinrichs.2005.lpd,67.97,20.48,365,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Heinrichs, Markus L.; Peglar, Sylvia M.; Bigler, Christian; Birks, H. John B.",2008,"A multi-proxy palaeoecological study of Alanen Laanij _rvi, a boreal-forest lake in Swedish Lapland",Boreas
11,GISP2,Alley.GISP2.2000.lpd,72.6,-38.5,3200,North America>Greenland,North America>Greenland,"Cuffey, Kurt M.; Clow, Gary D.",1997,"Temperature, accumulation, and ice sheet elevation in central Greenland through the last deglacial transition",Journal of Geophysical Research: Oceans
12,Allt na Feithe Sheilich,AlltnaFeitheSheilich.Birks.1975.lpd,57.32,-3.9,595,Europe>Northern Europe>British Isles>United Kingdom,Europe>Northern Europe>British Isles>United Kingdom,"Birks, H. H.",1975,Studies in the vegetational history of Scotland. IV. Pine stumps in Scottish blanket peats,Philosophical Transactions of the Royal Society B: Biological Sciences
13,Alpi di Robiei Val Bavona,AlpidiRobieiValBavona.Welten.1982.lpd,46.45,8.52,1936,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft
14,Alsa,Alsa.Mariscal.1993.lpd,43.12,-4.02,560,Europe>Southern Europe>Spain,Europe>Southern Europe>Spain,"Mariscal, B.",1993,Variacion de la vegetacion Holocena (4300-280 BP) de Cantabria a traves del analisis polinico de la turbera del Alsa,Estudios Geologicos
15,Alsopahok,Alsopahok.Zatyko.2007.lpd,46.77,17.17,126,Europe>Eastern Europe>Hungary,Europe>Eastern Europe>Hungary,"Zatyko, C.S.; I. Juhasz; P. Suemegi.",2007,Environmental archaeology in Transdanubia,NA
16,Altenweiher,Altenweiher.DeValk.1981.lpd,48.01,6.99,926,Europe>Western Europe>France,Europe>Western Europe>France,"De Valk, E.J.",1981,"Late Holocene and present vegetation of the Kastelberg (Vosges, France)",NA
17,Ammersee,Ammersee.vonGrafenstein.1996.lpd,48,11.1167,533,Europe>Western Europe>Austria,Europe>Western Europe>Austria,"Czymzik, Markus",2013,Orbital and solar forcing of shifts in Mid- to Late Holocene flood intensity from varved sediments of pre-alpine Lake Ammersee (southern Germany),Quaternary Science Reviews
