,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
1,100,-0.107754112,2.89939034,-8.192985535,0.758915954,1.791426778,-0.02183135,NA,1.623612274,NA,NA,1.79607594,0.534925789,-2.436089547,0.645116687,NA,NA,-0.0013206,NA,-2.097883105,-0.93496868,0.301563624
2,200,-0.301164448,1.774390221,-8.199235916,0.13912651,0.114612676,0.351976633,0.339672461,1.465586723,NA,NA,1.898179889,0.30967325,-1.598163536,0.578450024,0.546512246,NA,0.212078884,NA,-1.112122774,-0.825590014,0.458696593
3,300,-0.396518052,1.599390209,-8.170485497,-0.117744297,-0.100085765,0.100119631,0.242557079,1.382845113,NA,NA,1.851640622,0.283213623,-1.409936023,0.511783361,0.527281523,NA,-0.034169883,NA,-0.540171951,-0.886436135,0.615829593
4,400,-0.462927371,2.324390292,-8.089236259,-0.338506952,-0.165588369,0.313276589,0.188710921,1.338241431,-2.724715471,NA,1.801976403,0.931480766,-1.235200573,0.577080756,0.540672719,NA,0.552793756,NA,-0.946916983,-0.901711427,-0.31232962
5,500,-0.32004565,2.099390269,-7.947271347,-0.149058998,0.180947371,0.100424312,0.203982413,1.368473336,-2.780271053,NA,1.378210724,-0.330948934,-1.255835494,0.495830759,0.727460802,NA,-0.028840572,NA,0.383186832,-0.697515816,-0.351664066
6,600,-0.15229553,1.724390224,-2.99164933,-1.687483848,0.014934007,0.348695032,0.252907749,1.369068411,-2.835826635,NA,1.711840719,0.185792297,-1.27686724,0.577393256,0.587057844,NA,0.313464522,NA,0.275401195,-0.552409422,-0.144065698
7,700,-0.13498503,1.299390257,-2.877201438,-0.663938299,0.138451029,0.504597537,0.342080355,1.485736516,-2.891382217,NA,1.909349203,-0.222957974,-1.268518446,0.783643261,0.419872871,-1.24734211,0.385638502,NA,-0.465384499,-0.27325288,-0.076852397
8,800,-0.004635811,1.349390239,-2.838128626,-1.391376317,0.219999445,0.645049892,0.457626567,1.598421887,-2.946937561,NA,1.34965235,0.572711289,-1.273945162,0.70184423,0.24174881,-0.984184206,0.481366158,NA,-0.113023534,-0.114788557,-0.180315783
9,900,-0.134238601,1.574390233,-2.727817595,-0.825425059,0.338480058,0.572427195,0.423722223,1.580133232,-3.002493143,NA,1.061867058,0.304398572,-1.097105335,0.780628033,0.021193564,-0.799973667,0.356986828,NA,0.238233645,-0.284069943,-0.148428281
10,1000,-0.297834397,3.39939034,-2.769796997,-0.571515441,0.002777502,0.591244008,0.429378342,1.493985561,-3.058048725,NA,1.252964139,0.284632195,-0.859010097,0.825722039,-0.256114349,-0.799973667,0.104660392,NA,-0.308364898,0.037744849,-0.191803937
11,1100,-0.368640483,1.474390209,-2.83264643,-0.425671205,-0.021,0.37422542,0.511957541,1.464764642,-3.113604307,NA,1.172827291,0.34428215,-0.968385852,0.76183074,-0.539978192,-0.799973667,0.130740493,NA,-0.2589131,0.119803426,-0.23321218
12,1200,-0.171792567,3.174390197,-2.723994106,0.348360263,0.125996487,0.525651994,0.594536707,1.452129593,-3.169159889,NA,1.109455751,0.526905876,-1.261728197,0.64416407,-0.777783195,-0.799973667,0.221085354,-1.514546394,-0.084569589,-0.065211033,-0.157226925
13,1300,-0.084135473,2.899390221,-2.429471791,-0.331448395,-0.04680813,0.626134387,0.64250049,1.429131336,-3.224715471,NA,0.851130832,0.282228865,-1.309399547,-0.267394721,-0.751719435,-0.760500014,0.198549103,-1.500000954,-0.375637978,-0.201248874,-0.217425895
14,1400,-0.136002183,3.074390292,-2.463815421,-1.226160228,0.127809342,0.732087883,0.732772023,1.476981731,-3.246937752,-0.537157416,0.808837891,0.567754138,-0.979243767,-0.57952369,-0.572398475,-0.681552649,-0.193277661,-1.485455513,-0.386127219,0.119085163,-0.041697534
15,1500,-0.220636547,2.249390245,-2.590853482,-1.381529868,-0.13253625,0.39119124,0.820021525,1.519650852,-3.269159794,-0.543106318,0.852854684,0.347533488,-0.801403763,-0.509987764,-0.304709827,-0.602605283,-0.004260878,-1.470910072,0.16778335,0.165524324,0.014174923
16,1600,-0.287665695,1.699390293,-2.699924514,-1.05780679,0.038898328,0.424181181,0.828424871,1.48231998,-3.291382074,-0.509322524,0.952507328,-0.063632935,-0.904690821,-0.314162374,-0.08132562,-0.523657918,-0.134442358,-1.456364632,-0.020193048,0.238120535,-0.005391205
17,1700,-0.209180981,2.449390292,-2.792100001,-2.074943781,0.17424274,0.445159977,0.843009591,1.425018617,-3.313604355,-0.475538731,1.047626697,0.12685734,-0.990069487,-0.059503518,0.1549589,-0.511838078,-0.055925652,-1.441819191,-0.333346095,0.002555899,-0.022179559
18,1800,-0.118979961,2.249390245,-2.839412805,-1.249297559,-0.07183878,0.491564715,0.858281061,1.327850161,-3.335826635,-0.441754967,1.212750452,0.022759549,-1.005318284,0.264398396,0.207575156,-0.528787255,-0.182664494,-1.405364633,-0.281237006,0.119181946,-0.00750045
19,1900,0.123081863,4.024390221,-2.848216057,-1.627043024,-0.253720815,0.200982418,0.859129466,1.243804906,-3.358048677,-0.407971174,1.392002783,0.243348278,-1.017007409,0.09570007,0.358878738,-0.545736372,-0.015207714,-1.366475701,-0.217089109,-0.02372261,0.105442171
20,2000,-0.86404264,2.799390197,-2.814086571,-1.094239712,-0.06325328,0.667830646,0.826324016,1.213843063,-3.380270958,-0.386486173,1.353972126,0.051417619,-0.8777985,-0.185036697,0.38827154,-0.562685549,0.063126852,-1.327586889,0.043986186,0.347894321,0.119517594
21,2100,-0.786646068,2.124390245,-2.730137192,-1.185436067,-0.172669248,0.699020729,0.735826321,1.302580389,-3.402493238,-0.762661695,1.436600779,-0.001156261,-0.73858959,-0.773515366,0.410997683,-0.579634726,-0.066018691,-1.288697958,-0.529354609,0.308046477,0.126219541
22,2200,-0.730741302,3.424390197,-2.59367168,-0.928722203,-0.062858562,0.749037125,0.33198016,1.4376911,-3.424715519,-1.138837218,1.59773645,0.025559701,-0.720099008,-0.633575267,0.312975574,-0.596583843,0.025975369,-1.249809027,-0.318908416,0.133331576,0.117842118
23,2300,-0.826485912,2.624390245,-2.566107139,-0.625004336,-0.052163526,0.677263896,-0.032336086,1.447248007,-3.324715376,-1.51501286,1.833627932,0.150968716,-0.70767722,-0.204004381,0.173035021,-0.599973679,-0.040975327,-1.207216501,-0.409690172,-0.08414346,-0.006584684
24,2400,-0.922919711,2.774390221,-2.503412739,0.512609214,-0.253927673,0.816993724,0.027764917,1.420197692,-3.224715471,-1.46515727,1.900618756,-0.260925345,-0.564996217,-0.107246816,0.093285002,-0.599973679,0.207009863,-1.160920143,0.240856379,-0.021740319,-0.216108501
25,2500,-0.840301037,4.174390078,-2.577902555,-0.588522494,-0.034124895,0.932518628,0.087865919,1.315675513,-3.124715328,-1.334152818,1.867038919,0.154696464,-0.300681584,0.040706442,0.069492778,-0.599973679,-0.241483143,-1.114623904,-0.458157539,0.09919058,-0.23722813
26,2600,-0.744856914,2.699390173,-2.631395817,-1.697970689,-0.170211521,0.815123028,0.136001125,1.239489259,-3.024715424,-1.375933528,1.506100271,-0.179445539,-0.280763344,0.234767065,0.00439631,-0.581223667,0.06132525,-1.068327546,-0.581893765,-0.173736508,-0.215192109
27,2700,-0.65844055,2.824390173,-2.446444303,-1.934892416,-0.087798179,0.737898271,0.194392726,1.193967967,-2.924715519,-1.5590837,1.101019593,-0.080698165,-0.485308799,0.191264179,-0.078526017,-0.549973667,-0.019768283,-1.022031307,-0.859168306,-0.052278053,-0.301168872
28,2800,-0.635508736,4.049390316,-1.852123887,-0.402648494,-0.2138882,0.633770511,0.248938188,1.166808382,-2.824715376,-1.742233872,0.880859735,0.372669529,-0.61139105,0.076513438,0.125255296,-0.518723667,-0.193426,-0.977091908,-0.675669387,-0.09802913,-0.239068727
29,2900,-0.604545235,3.599390268,-2.089638382,-0.371257134,-0.155625705,0.599318519,0.061175957,1.212883782,-2.724715471,-1.685419917,0.908867784,0.348657998,-0.604574613,-0.042849731,0.308881569,-0.487852484,0.391626703,-0.944364607,-0.809500709,-0.17781838,-0.027583713
30,3000,-0.591973066,2.149390221,-2.245536551,-0.921567209,-0.142820448,0.570204601,0.119567573,1.28682855,-2.624715328,-1.575930834,1.143864516,0.095712874,-0.49233959,-0.081718378,0.476373124,-0.457549453,0.369240758,-0.911637366,-0.939885847,0.02298114,-0.382765343
31,3100,-0.547521909,3.024390221,-2.357221738,-1.599235013,-0.078598007,0.730421321,0.239497632,1.357384224,-2.524715424,-1.446003795,1.260253936,0.3377528,-0.3036544,0.000273556,0.342573953,-0.427246422,0.29432825,-0.878910065,-0.962469124,-0.101088901,-0.389229039
32,3200,-0.581110517,2.749390245,-2.245221153,-1.122300357,-0.170690323,0.902663594,0.272065074,1.396791568,-2.424715519,-1.081040263,1.130871514,0.335068703,-0.304868975,0.225708686,0.060870713,-0.387473702,0.227251164,-0.846182823,-0.476492848,-0.048551129,-0.233536035
33,3300,-0.625966072,4.649390221,-2.163983494,-0.344777641,-0.255551483,0.606040154,-0.044818044,1.445443895,-2.1947155,-0.716076791,1.321675552,0.295444999,-0.30608355,0.358700067,0.165055263,-0.262473702,0.248071666,-0.813455522,0.347887434,-0.049288158,-0.147787298
34,3400,-0.469042022,3.549390316,-2.212469906,-1.065698654,-0.300106811,0.639858597,-0.350712151,1.413025594,-1.964715481,-0.400311023,1.348283101,0.532043625,-0.394398625,0.420759469,0.403988791,-0.137473688,0.328993474,-0.791475713,0.211698219,0.030351213,-0.163320616
35,3500,-0.51931718,3.299390316,-2.19332771,-0.946668416,-0.324265416,0.530249491,-0.442320541,1.36252431,-1.734715462,-0.180046722,1.427326057,0.323209381,-0.436611057,0.362308378,0.535972375,-0.012473689,-0.006852796,-0.776660919,-0.878354102,-0.122737889,-0.073951973
36,3600,-0.50309524,2.924390197,-2.213903271,-0.587239295,-0.357714719,0.73423563,-0.337775082,1.302766138,-1.504715443,0.022870719,1.567492254,0.602863226,-0.495906856,0.317740237,0.655490679,0.033988576,0.167693276,-0.761846125,-0.467456629,-0.086448182,0.112288789
