"","time","new_zealand","greenland","n_atlantic","s_atlantic","indonesia","japan","oregon","alaska","china","congo","mediterranean","antarctica","arabean_sea","gulf_of_mexico","e_pacific","s_australia","philippines","s_america","iceland","scandinavia","w_africa"
"1",100,0.57253659525,-0.776046732,1.58529843033333,0.542673768333333,1.28259770742857,1.1373455198,1.5317496845,2.0006979926,0.84471639,0.609326,1.421057708875,2.56997933825,0.768349817,1.8003916778,0.980036395,0.192665659,0.6350879575,0.6032908235,-0.3688128955,-0.0886372062857143,0.554869528333333
"2",200,0.56518954525,-0.966277732,1.35964044033333,0.397624335,1.10635142171429,0.9665568598,1.2214516845,1.8816993726,0.78508539,0.509442,1.185424083875,2.39785633825,0.643722317,1.7082382778,0.813544995,-0.024297341,0.4748567075,0.4596803235,-0.531376728833333,-0.189697492,0.469158195
"3",300,0.52282619525,-1.000419232,1.331156017,0.350600135,1.02839099314286,1.1027982598,1.1973661845,2.0896389726,0.82730439,0.439816,1.122058333875,2.41154408825,0.600668317,1.6345512778,0.747885795,-0.081592341,0.4845262075,0.4394080735,-0.658150712166667,-0.450831777714286,0.419399528333333
"4",400,0.49298687025,-0.788378232,1.41779931866667,0.339376501666667,1.05299527885714,1.0082363198,1.3511546845,2.5538972326,0.79241939,0.477337,1.410103333875,2.48398983825,0.650876317,1.6044245778,0.829708995,-0.016420341,0.4666199575,0.4436723235,-0.3775861455,-0.237856492,0.430984528333333
"5",500,0.46687564525,-0.696325732,1.60574756866667,0.333460001666667,1.05038399314286,1.2704254598,1.6409321845,2.7956928926,0.94782539,0.439841,1.533741121375,2.28565233825,0.684127817,1.6156236778,0.886366595,0.034196659,0.5349144575,0.5121510735,-0.556906062166667,-0.458544920571429,0.420889195
"6",600,0.39491582025,-0.574648732,1.54201022866667,0.288445001666667,1.183885136,1.1950816598,1.4876076845,2.3625829926,0.92741939,0.472677,1.463073583875,2.38567621325,0.681975817,1.5508366778,0.908097395,0.044462659,0.5657764575,0.4591188235,-0.225164978833333,-0.292913134857143,0.448854528333333
"7",700,0.34408124525,-0.678013732,1.41303732033333,0.388887335,0.954558707428571,1.0999094598,1.2424621845,2.0566526126,0.76077939,0.473293,1.389851521375,2.29477008825,0.657144317,1.4418562778,0.917127395,0.041321659,0.5042212075,0.4834143235,-0.696305312166667,-0.619907249142857,0.390704195
"8",800,0.38723409525,-0.426878232,1.411322222,0.312178535,1.087122136,1.1307897598,1.3969111845,2.2098444126,0.79343939,0.461352,1.345725283875,2.39753308825,0.674576317,1.4561712778,0.896535195,0.123380659,0.5467232075,0.4432588235,-0.643975928833333,-0.534757634857143,0.413465861666667
"9",900,0.34964739525,-0.408505732,1.452156027,0.304123001666667,1.01853570742857,1.0396462598,1.2973126845,2.2914582126,0.78547839,0.503176,1.411027208875,2.39531683825,0.635959817,1.5377376778,0.905483795,0.061464659,0.5478147075,0.4520583235,-0.606370478833333,-0.542538920571429,0.408109528333333
"10",1000,0.33550497025,-0.485494232,1.47676594033333,0.303895001666667,1.041381136,1.1450295998,1.3423284345,2.3122671926,0.86580839,0.427128,1.471531746375,2.35021196325,0.619421817,1.4617336778,0.844869995,-0.004083341,0.5159739575,0.4263858235,-0.353284478833333,-0.463952677714286,0.388647861666667
"11",1100,0.39192239525,-0.667841732,1.39927749033333,0.375940501666667,1.00905870742857,1.0207246598,1.2612631845,2.0492432926,0.81515839,0.417753,1.376148033875,2.27670283825,0.605077317,1.4464634778,0.878837595,0.006327659,0.4930109575,0.5461378235,-0.5479341455,-0.676671463428571,0.352878195
"12",1200,0.38616169525,-0.428375232,1.455269972,0.262489235,0.934473850285714,1.1521258598,1.3884216845,2.3674044326,0.85267339,0.448517,1.487459408875,2.37129708825,0.602035817,1.4729988778,0.854277195,0.027697659,0.4699702075,0.4249688235,-0.536175328833333,-0.488198420571429,0.371777861666667
"13",1300,0.28474909525,-0.264078732,1.34453878033333,0.269332335,0.972289564571429,1.1388288598,1.5431976845,2.4271040926,0.77390639,0.37133,1.472597121375,2.30411858825,0.664426317,1.4208418778,0.860844995,-0.054444341,0.4709087075,0.4017423235,-0.174245812166667,-0.0553552634285714,0.357541195
"14",1400,0.34919009525,-0.396862732,1.32647074866667,0.315717668333333,0.843774993142857,1.2079597798,1.3334646845,2.4370624926,0.80254339,0.400602,1.472245921375,2.32602621325,0.595525317,1.3402046778,0.810246995,0.009136659,0.3742852075,0.4285808235,-0.5280190955,-0.459427449142857,0.332304861666667
"15",1500,0.38720352025,-0.286973232,1.30328394866667,0.253641001666667,0.905230136,1.1289414598,1.3070051845,2.2507526926,0.77878739,0.40774,1.421378083875,2.29261633825,0.599007817,1.4045330778,0.844626795,-0.005479341,0.4685622075,0.3712648235,-0.319059028833333,-0.462859477714286,0.355762528333333
"16",1600,0.41133459525,0.314111768,1.43472989533333,0.240733001666667,1.02482985028571,1.2313038598,1.5713096845,3.2687727926,0.91178439,0.398174,1.384864408875,2.41707058825,0.651626817,1.4888494778,0.795827195,-0.103093341,0.5137702075,0.3978583235,0.0800255211666666,0.124609365142857,0.382566195
"17",1700,0.38330737025,0.151871768,1.46348074366667,0.268310668333333,0.910238278857143,1.2215962598,1.5057331845,2.7948529526,0.85435439,0.401042,1.359177008875,2.46491283825,0.616181817,1.4676224778,0.778791395,-0.100127341,0.4935387075,0.4104188235,-0.0488003121666666,0.0939346508571428,0.369088195
"18",1800,0.44303564525,0.226325268,1.483120057,0.310606535,1.02505242171429,1.1710410598,1.6065671845,3.0745880926,0.89839139,0.437597,1.455275746375,2.34399333825,0.615979817,1.3787257778,0.807005395,-0.015796341,0.4929472075,0.4410538235,-0.0756355455,0.0924459508571428,0.379561195
"19",1900,0.39244177025,0.109861268,1.38642009033333,0.334794268333333,0.950960564571429,1.1514385798,1.3686956845,2.5287997526,0.84114639,0.405197,1.453841146375,2.43582458825,0.597069317,1.4192922778,0.779213195,0.024007659,0.4639944575,0.4933743235,-0.185181312166667,0.027106508,0.361380195
"20",2000,0.47439294525,-0.309100232,1.18417991366667,0.345620135,0.798629993142857,1.0725264598,1.3116756845,2.1294238926,0.69161939,0.374912,1.234937708875,2.43261171325,0.578971317,1.3072418778,0.772553995,-0.054474341,0.4534589575,0.5042483235,-0.616476312166667,-0.779889249142857,0.319121861666667
"21",2100,0.45181087025,-0.494159232,1.20954162366667,0.383580668333333,0.854645421714286,0.9734019598,1.0373896845,1.9929650926,0.79640939,0.395025,1.262832646375,2.48641308825,0.509875317,1.2959780778,0.772209195,-0.024369341,0.3878299575,0.5238198235,-0.6635211455,-0.818006706285714,0.303302861666667
"22",2200,0.30774557025,-0.241615232,1.246472482,0.203491468333333,0.830989421714286,1.0057190598,1.1140491845,1.7874192926,0.74333939,0.383074,1.322613883875,2.42083308825,0.557656817,1.2808752778,0.719735995,-0.057790341,0.4125882075,0.4159118235,-0.433299962166667,-0.193969849142857,0.334410528333333
"23",2300,0.31878649525,-0.060590232,1.263727222,0.219235001666667,0.879198421714286,1.1859858598,1.3997136845,2.4913283526,0.79321239,0.385732,1.292850583875,2.42049058825,0.610972817,1.2707202778,0.792819795,0.043974659,0.4500967075,0.3975613235,-0.2995481455,-0.293265920571429,0.354281195
"24",2400,0.44622757025,-0.030582732,1.35500757866667,0.317726201666667,0.945580707428571,1.1004885398,1.2458676845,2.3292676926,0.81652239,0.404469,1.400054333875,2.43892133825,0.559286317,1.2353414778,0.728179995,0.011948159,0.4219127075,0.4856653235,-0.4600338955,-0.337148277714286,0.346696528333333
"25",2500,0.31909364525,-0.337508732,1.199442717,0.274119001666667,0.824527278857143,0.9846886598,1.3399566845,2.0363505126,0.69890539,0.390972,1.135238683875,2.29067558825,0.545005317,1.2625442778,0.708558595,0.039620659,0.4119707075,0.4255968235,-0.482984378833333,-0.254368492,0.318529195
"26",2600,0.16425314525,-0.202833232,1.314359667,0.219421901666667,0.800664993142857,1.1584344598,1.2453971845,2.2229202926,0.73534539,0.399802,1.511677783875,2.35277308825,0.552866317,1.2283900778,0.719176995,0.007550659,0.4299844575,0.3328598235,-0.4272656455,-0.522049263428571,0.311777195
"27",2700,0.31100947025,0.042096768,1.292827552,0.229775068333333,0.906430278857143,1.0940978598,1.3509491845,2.8909293926,0.74869339,0.387842,1.245412333875,2.31822046325,0.519143817,1.2385934778,0.719986195,0.002912659,0.3653797075,0.3203743235,-0.178955078833333,-0.291757734857143,0.296403861666667
"28",2800,0.29115977025,0.069738268,1.370900107,0.255743401666667,0.911764136,1.0844184598,1.2962201845,2.6521978926,0.72182239,0.311362,1.463550171375,2.29793958825,0.485776817,1.2589468778,0.695347995,-0.013039341,0.3484622075,0.3643618235,-0.225182562166667,-0.466980492,0.248443861666667
"29",2900,0.30036119525,0.320093268,1.395409292,0.200885835,0.949101136,1.1846932598,1.4104039345,3.3080656326,0.76126239,0.379292,1.486359758875,2.38750183825,0.553523817,1.3145406778,0.727426595,-0.087875341,0.4084434575,0.3410448235,0.127324621166667,0.0939886508571428,0.307495528333333
"30",3000,0.35462314525,0.925085268,1.42130928366667,0.269288135,0.907153707428571,1.2485310598,1.6752196845,3.6245338126,0.89914339,0.358774,1.509341708875,2.41291733825,0.553239317,1.3471842778,0.705317995,-0.090892341,0.4617584575,0.4299673235,0.428915287833333,0.606934893714286,0.292029861666667
