,time,average,st_error
1,0,1.016112537,0.076614872
2,100,0.120740392,0.084286811
3,200,0.102694578,0.045797673
4,300,0.005737206,0.043781285
5,400,-0.084818369,0.039589065
6,500,0.01298215,0.038968968
7,600,-0.046757632,0.036968304
8,700,0.016294397,0.034164761
9,800,-0.020329598,0.029845485
10,900,0.039258955,0.027727393
11,1000,0.045852702,0.029461735
12,1100,0.030606148,0.029157006
13,1200,0.045211756,0.027757172
14,1300,-0.030056438,0.025929635
15,1400,-0.009001039,0.025666311
16,1500,-0.040624709,0.025145149
17,1600,-0.018496125,0.025248673
18,1700,-0.036392592,0.023978356
19,1800,-0.014655033,0.023336708
20,1900,-0.00667534,0.022185535
21,2000,0.056121384,0.02123235
22,2100,0.023013222,0.022210656
23,2200,0.074860933,0.021822677
24,2300,0.067810632,0.022245895
25,2400,0.125758506,0.022660764
26,2500,0.123095556,0.022658804
27,2600,0.018604423,0.021282069
28,2700,-0.042180246,0.020293807
29,2800,0.013998307,0.018956882
30,2900,0.042897529,0.019275686
31,3000,0.03075801,0.019878594
32,3100,0.062888651,0.020113191
33,3200,0.082625736,0.018243221
34,3300,0.146968591,0.017767027
35,3400,0.160476903,0.018195374
36,3500,0.110636681,0.01852169
37,3600,0.189611752,0.018539457
38,3700,0.217473964,0.0186682
39,3800,0.244838737,0.018705389
40,3900,0.235494249,0.019868271
41,4000,0.258822674,0.019997841
42,4100,0.268598014,0.020147423
43,4200,0.199231462,0.022988804
44,4300,0.262836426,0.021086664
45,4400,0.222542412,0.019551623
46,4500,0.295547511,0.018799489
47,4600,0.253842481,0.01841218
48,4700,0.269173264,0.019755613
49,4800,0.2784376,0.020189718
50,4900,0.264812069,0.020027889
51,5000,0.335148099,0.018855805
52,5100,0.293997471,0.017688028
53,5200,0.28962784,0.015928448
54,5300,0.203620637,0.015414236
55,5400,0.168125602,0.016531606
56,5500,0.257594147,0.016358032
57,5600,0.328200231,0.017402238
58,5700,0.327674216,0.01753214
59,5800,0.314853683,0.017482575
60,5900,0.258610052,0.017903163
61,6000,0.276558733,0.017824396
62,6100,0.250726127,0.017822369
63,6200,0.241186848,0.017193012
64,6300,0.273426793,0.016718771
65,6400,0.280252844,0.01700464
66,6500,0.261788336,0.015826257
67,6600,0.298098061,0.015912699
68,6700,0.329790549,0.016027581
69,6800,0.321497441,0.015158673
70,6900,0.319464283,0.014716931
71,7000,0.217845443,0.015634342
72,7100,0.154757354,0.014436712
73,7200,0.208943421,0.01374637
74,7300,0.239337939,0.013884529
75,7400,0.247427573,0.013961202
76,7500,0.300685725,0.014623619
77,7600,0.243992259,0.014063185
78,7700,0.285947425,0.013196992
79,7800,0.315152195,0.01165112
80,7900,0.311096194,0.010957401
81,8000,0.324053624,0.011508125
82,8100,0.244119669,0.012074285
83,8200,0.239594853,0.011124694
84,8300,0.253953687,0.010489465
85,8400,0.361171843,0.009720425
86,8500,0.33992257,0.009739665
87,8600,0.31653066,0.010246646
88,8700,0.284816542,0.009940485
89,8800,0.297980043,0.01024974
90,8900,0.325130204,0.01097488
91,9000,0.364799085,0.009807525
92,9100,0.370998108,0.010441417
93,9200,0.283652305,0.008868094
94,9300,0.301848757,0.008461392
95,9400,0.358058815,0.007755178
96,9500,0.293568724,0.007313754
97,9600,0.247855885,0.007005562
98,9700,0.22514639,0.006597904
99,9800,0.233092788,0.007135026
100,9900,0.162048002,0.006582192
101,10000,0.16879154,0.005921884
102,10100,0.130644119,0.005936144
103,10200,0.094519747,0.005815158
104,10300,0.081868753,0.006025049
105,10400,0.048814303,0.006656524
106,10500,0.034677304,0.00617617
107,10600,-0.018004086,0.00896509
108,10700,-0.071919458,0.010058567
109,10800,-0.145369133,0.011782279
110,10900,-0.203556731,0.010817547
111,11000,-0.297972159,0.010037861
112,11100,-0.374060755,0.011585477
113,11200,-0.325662608,0.012323483
114,11300,-0.337556873,0.013811449
115,11400,-0.44081146,0.016613448
116,11500,-0.509626824,0.016381696
117,11600,-0.586706759,0.017460234
118,11700,-0.739300586,0.019501739
119,11800,-0.759485925,0.021346032
120,11900,-1.037882438,0.021894525
121,12000,-0.997440411,0.02223076
122,12100,-1.083145668,0.024443949
123,12200,-1.094753972,0.023406016
124,12300,-1.126805807,0.02535594
125,12400,-1.177911104,0.025635287
126,12500,-1.330199858,0.024246543
127,12600,-1.338868796,0.02433199
128,12700,-1.459482898,0.024212671
129,12800,-1.406486693,0.020595397
130,12900,-1.333224485,0.019082638
131,13000,-1.346014333,0.017790856
132,13100,-1.321570777,0.017528532
133,13200,-1.221334131,0.01623544
134,13300,-1.132100754,0.015274823
135,13400,-1.122725609,0.014768508
136,13500,-1.084863397,0.016115933
137,13600,-1.195174764,0.015426391
138,13700,-1.142415545,0.013754368
139,13800,-1.231133419,0.013863722
140,13900,-1.211383927,0.015544415
141,14000,-1.304611135,0.015553518
142,14100,-1.245191069,0.013560947
143,14200,-1.255883033,0.014803031
144,14300,-1.250764082,0.015365174
145,14400,-1.322300379,0.01618737
146,14500,-1.391862092,0.017965705
147,14600,-1.664150799,0.024601044
148,14700,-1.787919233,0.029448857
149,14800,-1.989043289,0.02856069
150,14900,-1.980520344,0.029252974
151,15000,-2.09318642,0.033124865
152,15100,-2.109706147,0.033448147
153,15200,-2.061289404,0.03441701
154,15300,-2.123431058,0.034944954
155,15400,-2.112205589,0.036229286
156,15500,-2.150002203,0.036293193
157,15600,-2.234998396,0.035872212
158,15700,-2.299270508,0.037525539
159,15800,-2.233197513,0.036254516
160,15900,-2.251418659,0.037010585
161,16000,-2.278565686,0.037090084
162,16100,-2.355813256,0.037787588
163,16200,-2.470389007,0.037493742
164,16300,-2.62847326,0.039288563
165,16400,-2.601979061,0.041590887
166,16500,-2.548072863,0.041753805
167,16600,-2.588460805,0.040766224
168,16700,-2.664683778,0.039168717
169,16800,-2.704713228,0.036734587
170,16900,-2.827142615,0.035767003
171,17000,-2.862493474,0.034566614
172,17100,-2.919365555,0.034618457
173,17200,-2.883861372,0.03507098
174,17300,-2.947678786,0.035178482
175,17400,-3.077939703,0.035728418
176,17500,-3.024658768,0.033493216
177,17600,-3.010055313,0.032981062
