,time,average,st_error
178,17700,-2.958446845,0.030495255
179,17800,-2.927999563,0.028629185
180,17900,-2.880657977,0.027516947
181,18000,-2.841635805,0.026926808
182,18100,-2.883964718,0.028254036
183,18200,-2.956657142,0.02843798
184,18300,-3.029348754,0.030378852
185,18400,-3.03840808,0.031095708
186,18500,-3.087797032,0.032907002
187,18600,-3.098909142,0.032604356
188,18700,-3.059710856,0.033430974
189,18800,-3.109624102,0.031861615
190,18900,-3.04420894,0.03230645
191,19000,-3.079390197,0.033814371
192,19100,-3.16988758,0.033433974
193,19200,-3.213279338,0.034613793
194,19300,-3.167483972,0.034699374
195,19400,-3.220517606,0.034971516
196,19500,-3.228721327,0.034652863
197,19600,-3.194777714,0.033912249
198,19700,-3.117473019,0.033598107
199,19800,-3.07657432,0.03403641
200,19900,-3.060878426,0.034464062
201,20000,-3.03498106,0.036000305
202,20100,-3.059499262,0.037107092
203,20200,-3.134568536,0.037313966
204,20300,-3.261667669,0.036839152
205,20400,-3.330283729,0.039059501
206,20500,-3.302610583,0.040529925
207,20600,-3.148947428,0.039404386
208,20700,-3.150338825,0.039952848
209,20800,-3.189514697,0.040898047
210,20900,-3.218860109,0.04191278
211,21000,-3.255424602,0.04217514
212,21100,-3.29785596,0.044244515
213,21200,-3.336403519,0.04655851
214,21300,-3.390557997,0.048739985
215,21400,-3.392181915,0.0474802
216,21500,-3.346189362,0.04531672
217,21600,-3.352785674,0.045223643
218,21700,-3.35189545,0.04513642
219,21800,-3.246934354,0.043095614
220,21900,-3.283565632,0.046568964
221,22000,-3.301104244,0.048224733
