"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"170",170,66.14,-66.08,"Iglutalik Lake","Iglutalik.Kerwin.2004.lpd",90,NA,"North America>Canada>Nunavut","Kerwin, Michael W.",2004,"Pollen-based summer temperature reconstructions for the eastern Canadian boreal forest, subarctic, and Arctic","Quaternary Science Reviews","LakeSediment",-24.346,10268.932,"pollen",59,7,"www.ncdc.noaa.gov/paleo/study/15444"
"171",171,50.92,-90.45,"Indian","Indian.Bjorck.1985.lpd",383,"North America>Canada>Ontario","North America>Canada>Ontario","Bj̦rck, Svante",1985,"Deglaciation chronology and revegetation in northwestern Ontario","Canadian Journal of Earth Sciences","LakeSediment",5820,10290,"pollen",23,7,"this compilation"
"172",172,47.14,-93.64,"Irvin","Irvin.Cushing.1982.lpd",478,"North America>United States Of America>Minnesota","North America>United States Of America>Minnesota","Alwin, B.C.",1982,"Vegetation history of the Sugar Hills area, Itasca Co., Minnesota",NA,"LakeSediment",-20,10771,"pollen",44,7,"this compilation"
"173",173,60.22,22.13,"Isokaerret","Isokaerret.Asplund.1989.lpd",16,"Atlantic Ocean>North Atlantic Ocean>Baltic Sea","Atlantic Ocean>North Atlantic Ocean>Baltic Sea","Asplund, H.; Vuorela, I.",1989,"Settlement studies in Kemioe - Archaeological problems and palynological evidence","Fennoskandia Archaeologica","Peat",-44.69,4245.89,"pollen",38,6,"this compilation"
"174",174,63.67,-65.15,"Jake","Jake.Kerwin.2005.lpd",300,"North America>Canada>Nunavut","North America>Canada>Nunavut","Miller, Gifford H.; Wolfe, Alexander P.; Briner, Jason P.; Sauer, Peter E.; Nesje, Atle",2005,"Holocene glaciation and climate evolution of Baffin Island, Arctic Canada","Quaternary Science Reviews","LakeSediment",-41,8081.666,"pollen",27,15,"www.ncdc.noaa.gov/paleo/study/15444"
"175",175,-64.2017,-57.685,"James Ross Island","JamesRossIsland.Mulvaney.2012.lpd",1542,"Antarctica","Antarctica","Mulvaney, Robert; Abram, Nerilie J.; Hindmarsh, Richard C. A.; Arrowsmith, Carol; Fleet, Louise; Triest, Jack; Sime, Louise C.; Alemany, Olivier; Foord, Susan",2012,"Recent Antarctic Peninsula warming relative to Holocene climate and ice-shelf history","Nature","GlacierIce",-58,14263.66,NA,NA,NA,"www.ncdc.noaa.gov/paleo/study/13954"
"176",176,42.33,126.37,"Jinchuan Peat Bog","JinchueanBog.Yu.2013.lpd",600,"Asia>Eastern Asia>China","Asia>Eastern Asia>China","Yu, Shi-Yong",2013,"Quantitative reconstruction of mid- to late-Holocene climate in NE China from peat cellulose stable oxygen and carbon isotope records and mechanistic models","The Holocene","Peat",20,5752,"d18O",130,8,"this compilation"
"177",177,-49.917,-74.383,"JPC-42","JPC42.Caniupan.2014.lpd",-904,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,"Holocene sea-surface temperature variability in the Chilean fjord region","Quaternary Research","MarineSediment",NA,NA,"alkenone",76,7,"this compilation"
"178",178,-54.3199,-69.4632,"NBP05-05_JPC-67","JPC67.Bertrand.2017.lpd",-297,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Bertrand, Sebastien; Lange, Carina B.; Pantoja, Silvio; Hughen, Konrad; Van Tornhout, Evi; Wellner, Julia Smith",2017,"Postglacial fluctuations of Cordillera Darwin glaciers (southernmost Patagonia) reconstructed from Almirantazgo fjord sediments","Quaternary Science Reviews","MarineSediment",-45,14330,"alkenone",137,20,"10.1594/PANGAEA.881851"
"179",179,69.9,-95.07,"JR01","JR01Chironomid.Fortin.2017.lpd",120,"North America>Canada>Nunavut","North America>Canada>Nunavut","Fortin, Marie-Claude; Gajewski, Konrad",2016,"Multiproxy paleoecological evidence of Holocene climatic changes on the Boothia Peninsula, Canadian Arctic","Quaternary Research","LakeSediment",-24,6916,"chironomid",112,7,"this compilation"
"180",180,60.73,24.22,"Kaartlamminsuo","Kaartlamminsuo.Rankama.1988.lpd",115,"Europe>Northern Europe>Scandinavia>Finland","Europe>Northern Europe>Scandinavia>Finland","Rankama, T.; Vuorela, I.",1988,"Between inland and coast in Metal Age Finland - human impact on the primeval forests of southern H _me during the Iron Age","Memoranda Societatis Pro Fauna et Flora Fennica","Peat",159.64,4900.81,"pollen",54,6,"this compilation"
"181",181,42.7918,-3.8496,"Kaite Cobre Mayor","KaiteCobreMayor.MartinChivelet.2011.lpd",1173,"Europe>Southern Europe>Spain","Europe>Southern Europe>Spain","Mart _n-Chivelet, Javier; Mu̱oz-Garc _a, M. Bel̩n; Edwards, R. Lawrence; Turrero, Mar _a J.; Ortega, Ana I.",2011,"Land surface temperature changes in northern Iberia since 4000 yrBP, based on   13C of speleothems","Global and Planetary Change","Speleothem",NA,NA,"d13C",876,23,"www.ncdc.noaa.gov/paleo/study/12194"
"182",182,57.63,14.53,"Kansjon","Kansjon.EPD.lpd",308,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden",NA,NA,NA,NA,"LakeSediment",175.37,10425.17,"pollen",31,6,"this compilation"
"183",183,46.52,32.62,"Kardashinski Swamp","KardashinskiSwamp.Kremenetski.1995.lpd",4,"Europe>Eastern Europe>Ukraine","Europe>Eastern Europe>Ukraine","Kremenetski, Constantin V.",1995,"Holocene vegetation and climate history of southwestern Ukraine","Review of Palaeobotany and Palynology","Peat",290.92,9206.06,"pollen",38,6,"this compilation"
"184",184,58.38,22.2,"Karujarv","Karujarv.EPD.lpd",32,"Europe>Northern Europe>Estonia","Europe>Northern Europe>Estonia",NA,NA,NA,NA,"LakeSediment",484.76,8373.49,"pollen",74,6,"this compilation"
"185",185,64.17,-127.62,"Keele","Keele.Szeicz.1995.lpd",1150,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",0,10888,"pollen",51,7,"this compilation"
"186",186,49.82,-102.3,"Kenosee","Kenosee.Porter.1992.lpd",746,"North America>Canada>Saskatchewan","North America>Canada>Saskatchewan","Porter, S.C.; Sauchyn, M.A.",1992,"Moose Mountain palynology study: Final report",NA,"LakeSediment",67,5511,"pollen",28,7,"this compilation"
"187",187,38.87,-107.03,"Keystone Iron Bog","KeystoneIronbog.Fall.1985.lpd",2920,"North America>United States Of America>Colorado","North America>United States Of America>Colorado","Fall, P.L.",1988,"Vegetation dynamics in the southern Rocky Mountains: Late Pleistocene and Holocene timberline fluctuations",NA,"LakeSediment",-5,9168,"pollen",31,7,"this compilation"
"188",188,67.3628,62.7507,"Kharinei","Kharinei.Jones.2011.lpd",108,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Jones, V. J.; Solovieva, N.; Self, A. E.; McGowan, S.; Ros̩n, P.; Salonen, J. S.; Sepp _, H.; V _liranta, M.; Parrott, E.; Brooks, S. J.",2011,"The influence of Holocene tree-line advance and retreat on an arctic lake ecosystem: A multi-proxy study from Kharinei Lake, northeastern European Russia","Journal of Paleolimnology","LakeSediment",-53.246,11502.69,"chironomid",39,8,"this compilation"
"189",189,73,102,"Khatanga-12 Lake","Khatanga-12Lake.Syrykh.2017.lpd",60,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Syrykh, L. S.; Nazarova, L. B.; Herzschuh, U.; Subetto, D. A.; Grekov, I. M.",2017,"Reconstruction of palaeoecological and palaeoclimatic conditions of the Holocene in the south of the Taimyr according to an analysis of lake sediments","Contemporary Problems of Ecology","LakeSediment",211.677,6918.66,"chironomid",24,8,"this compilation"
"190",190,54.2,56.9,"Kinderlinskaya Cave","KinderlinskayaCave.Baker.2017.lpd",240,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Baker, Jonathan L.; Lachniet, Matthew S.; Chervyatsova, Olga; Asmerom, Yemane; Polyak, Victor J.",2017,"Holocene warming in western continental Eurasia driven by glacial retreat and greenhouse forcing","Nature Geoscience","Speleothem",-50,11704,NA,NA,8,"www.ncdc.noaa.gov/paleo/study/21610"
