"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"1",1,18.0518,57.609,"117_723A","117_723A.Godad.2011.lpd",-806,"Indian Ocean>Arabian Sea","Indian Ocean>Arabian Sea","Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",2011,"Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season","Marine Micropaleontology","MarineSediment",950,19130,NA,NA,10,"10.1594/PANGAEA.775098,10.1594/PANGAEA.695217"
"2",2,68.9925,-106.5735,"2005-804-006","2005-804-006.Ledu.2010.lpd",-118,"Arctic Ocean","Arctic Ocean","Ledu, David; Rochon, Andr̩; de Vernal, Anne; Barletta, Francesco; St-Onge, Guillaume",2010,"Holocene sea ice history and climate variability along the main axis of the Northwest Passage, Canadian Arctic","Paleoceanography","MarineSediment",1023.6,7730.8,"dinocyst",41,7,"www.ncdc.noaa.gov/paleo/study/15444"
"3",3,67.05,-50.47,"Lake 31","31Lake.Eisner.1995.lpd",115,"Atlantic Ocean>North Atlantic Ocean>Davis Strait","Atlantic Ocean>North Atlantic Ocean>Davis Strait","Eisner, Wendy R.; Țrnqvist, Torbj̦rn E.; Koster, Eduard A.; Bennike, Ole; van Leeuwen, Jacqueline F.N.",1995,"Paleoecological studies of a Holocene lacustrine record from the Kangerlussuaq (S  ndre Str  mfjord) region of west Greenland","Quaternary Research","LakeSediment",667,5769,"pollen",32,7,"this compilation"
"4",4,49.9833,-121.2167,"3M Pond","3MPond.Pellatt.2000.lpd",1950,"North America>Canada>British Columbia","North America>Canada>British Columbia","Pellatt, Marlow G.; Smith, Michael J.; Mathewes, Rolf W.; Walker, Ian R.; Palmer, Samantha L.",2000,"Holocene treeline and climate change in the subalpine zone near Stoyoma Mountain, Cascade Mountains, southwestern British Columbia, Canada","Arctic, Antarctic, and Alpine Research","LakeSediment",-275,11810,"chironomid",34,8,"this compilation"
"5",5,33.96,-119.98,"Abalone","Abalone.Cole.1994.lpd",0,"North America>United States Of America>California","North America>United States Of America>California","Cole, Kenneth L.; Liu, Geng-Wu",1994,"Holocene paleoecology of an estuary on Santa Rosa Island, California","Quaternary Research","LakeSediment",-40,6113.9,"pollen",32,9,"this compilation"
"6",6,-40.9333,172.5333,"Adelaide Tarn","AdelaideTarn.Jara.2015.lpd",1250,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Jara, Ignacio A.; Newnham, Rewi M.; Vanderfoes, Marcus J.; Foster, Courtney R.; Lowe, David J.; Wilmshurst, Janet M.; Moreno, Patricio I.; Renwick, James A.; Homes, Aline M.",2015,"Pollen-climate reconstruction from northern South Island, New Zealand (41°S), reveals varying high- and low-latitude teleconnections over the last 16 000 years","Journal of Quaternary Science","LakeSediment",-15.3,15666.5,"pollen",109,7,"this compilation"
"7",7,46.6814,7.9775,"Agassiz","Agassiz.Lecavalier.2017.lpd",1935,"North America>Canada>Nunavut","North America>Canada>Nunavut","Lecavalier, Benoit S.; Fisher, David A.; Milne, Glenn A.; Vinther, Bo M.; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Brittany; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur S.",2017,"High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution","Proceedings of the National Academy of Sciences","GlacierIce",16,11366,"melt layer",455,NA,"10.1594/PANGAEA.904113"
"8",8,55.83,13.42,"Ageroeds Mosse","AgeroedsMosse.Nilsson.1964.lpd",58,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Nilsson, T.",1964,"Standard pollen diagramme und C14 datiengen aus dem Ageroeds mosse in mittleren schonen","Lunds Universitets Arsskrift N.F. 2","Peat",18.65,9098.8,"pollen",135,6,"this compilation"
"9",9,-46.42,169.28,"Ajax Bog","AjaxBog.Wilmshurst.2007.lpd",680,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP","Journal of Quaternary Science","Peat",784.667,14212,"pollen",49,10,"this compilation"
"10",10,67.97,20.48,"Alanen Laanijarvi","AlanenLaanijarvi.Heinrichs.2005.lpd",365,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Heinrichs, Markus L.; Peglar, Sylvia M.; Bigler, Christian; Birks, H. John B.",2008,"A multi-proxy palaeoecological study of Alanen Laanij _rvi, a boreal-forest lake in Swedish Lapland","Boreas","LakeSediment",-45,8565.18,"chironomid",29,10,"this compilation"
"11",11,72.6,-38.5,"GISP2","Alley.GISP2.2000.lpd",3200,"North America>Greenland","North America>Greenland","Cuffey, Kurt M.; Clow, Gary D.",1997,"Temperature, accumulation, and ice sheet elevation in central Greenland through the last deglacial transition","Journal of Geophysical Research: Oceans","GlacierIce",95.141,49981,"hybrid-ice",1632,NA,"www.ncdc.noaa.gov/paleo/study/2475"
"12",12,57.32,-3.9,"Allt na Feithe Sheilich","AlltnaFeitheSheilich.Birks.1975.lpd",595,"Europe>Northern Europe>British Isles>United Kingdom","Europe>Northern Europe>British Isles>United Kingdom","Birks, H. H.",1975,"Studies in the vegetational history of Scotland. IV. Pine stumps in Scottish blanket peats","Philosophical Transactions of the Royal Society B: Biological Sciences","Peat",-19.25,9617.98,"pollen",28,6,"this compilation"
"13",13,46.45,8.52,"Alpi di Robiei Val Bavona","AlpidiRobieiValBavona.Welten.1982.lpd",1936,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Welten, M.",1982,"Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis","Denkschriften der Schweizerischen Naturforschenden Gesellschaft","Peat",62.6,10899.31,"pollen",46,6,"this compilation"
"14",14,43.12,-4.02,"Alsa","Alsa.Mariscal.1993.lpd",560,"Europe>Southern Europe>Spain","Europe>Southern Europe>Spain","Mariscal, B.",1993,"Variacion de la vegetacion Holocena (4300-280 BP) de Cantabria a traves del analisis polinico de la turbera del Alsa","Estudios Geologicos","Peat",45.95,4902.74,"pollen",24,6,"this compilation"
"15",15,46.77,17.17,"Alsopahok","Alsopahok.Zatyko.2007.lpd",126,"Europe>Eastern Europe>Hungary","Europe>Eastern Europe>Hungary","Zatyko, C.S.; I. Juhasz; P. Suemegi.",2007,"Environmental archaeology in Transdanubia",NA,"Peat",94.97,10678.81,"pollen",86,6,"this compilation"
"16",16,48.01,6.99,"Altenweiher","Altenweiher.DeValk.1981.lpd",926,"Europe>Western Europe>France","Europe>Western Europe>France","De Valk, E.J.",1981,"Late Holocene and present vegetation of the Kastelberg (Vosges, France)",NA,"Peat",138.63,10910.16,"pollen",113,6,"this compilation"
"17",17,48,11.1167,"Ammersee","Ammersee.vonGrafenstein.1996.lpd",533,"Europe>Western Europe>Austria","Europe>Western Europe>Austria","Czymzik, Markus",2013,"Orbital and solar forcing of shifts in Mid- to Late Holocene flood intensity from varved sediments of pre-alpine Lake Ammersee (southern Germany)","Quaternary Science Reviews","LakeSediment",-49,5513,NA,0,NA,"www.ncdc.noaa.gov/paleo/study/5462"
"18",18,79.77,10.74,"AMP112","AMP112.vanderBilt.2016.lpd",35,"Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen","Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen","van der Bilt, Willem G.M.; D'Andrea, William J.; Bakke, Jostein; Balascio, Nicholas L.; Werner, Johannes P.; Gjerde, Marthe; Bradley, Raymond S.",2018,"Alkenone-based reconstructions reveal four-phase Holocene temperature evolution for high arctic Svalbard","Quaternary Science Reviews","LakeSediment",1144.5,12353.2,"alkenone",66,16,"10.1594/PANGAEA.868935"
"19",19,45.54,-73.31,"Atocas","Atocas.Gauthier.1981.lpd",114,"North America>Canada>Quebec","North America>Canada>Quebec","Gauthier, R.",1981,"Histoire de la colonisation vegetale postglaciaire des Monteregiennes: Deux sites du mont Saint-Bruno",NA,"LakeSediment",0,10399,"pollen",41,8,"this compilation"
"20",20,32.75,81.67,"Aweng Co","AwengCo.Li.2017.lpd",4427,"Asia>Eastern Asia>China","Asia>Eastern Asia>China","Li, Xiumei; Wang, Mingda; Zhang, Yuzhi; Lei, Li; Hou, Juzhi",2017,"Holocene climatic and environmental change on the western Tibetan Plateau revealed by glycerol dialkyl glycerol tetraethers and leaf wax deuterium-to-hydrogen ratios at Aweng Co","Quaternary Research","LakeSediment",NA,NA,"GDGT",57,7,"this compilation"
"21",21,49.42,-0.03,"Baie de Seine estuary","BaiedeSeineestuary.Garnaud.2003.lpd",0,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Garnaud, S̩bastien; Lesueur, Patrick; Clet, Martine; Lesourd, Sandric; Garlan, Thierry; Lafite, Robert; Brun-Cottan, Jean-Claude",2003,"Holocene to modern fine-grained sedimentation on a macrotidal shoreface-to-inner-shelf setting (eastern Bay of the Seine, France)","Marine Geology","MarineSediment",105.97,8532.53,"pollen",26,6,"this compilation"
"22",22,72.37,-119.83,"Banks Island -12","BanksIsland-12.Gajewski.2000.lpd",220,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Gajewski, K; Mott, R J; Ritchie, J C; Hadden, K",2000,"Holocene vegetation history of Banks Island, Northwest Territories, Canada","Canadian Journal of Botany","LakeSediment",175,10183,"pollen",33,7,"this compilation"
"23",23,73.53,-120.22,"Banks Island -15","BanksIsland-15.Gajewski.2000.lpd",120,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Gajewski, K; Mott, R J; Ritchie, J C; Hadden, K",2000,"Holocene vegetation history of Banks Island, Northwest Territories, Canada","Canadian Journal of Botany","LakeSediment",14,10183,"pollen",62,8,"this compilation"
"24",24,42.5445,0.326,"Basa de la Mora Lake","BasadelaMoraLake.Tarrats.2018.lpd",1914,"Europe>Southern Europe>Spain","Europe>Southern Europe>Spain","Tarrats, Pol; Heiri, Oliver; Valero-Garc̩s, Blas; Ca̱edo-Arg _elles, Miguel; Prat, Narc _s; Rieradevall, Maria; Gonz  lez-Samp̩riz, Pen̩lope",2018,"Chironomid-inferred Holocene temperature reconstruction in Basa de la Mora Lake (central Pyrenees)","The Holocene","LakeSediment",1276,9895.115,"chironomid",56,9,"this compilation"
"25",25,47.19,-1.86,"Basse-Ville","Basse-Ville.Voeltzel.1987.lpd",1,"Europe>Western Europe>France","Europe>Western Europe>France","Voeltzel, D.",1987,"Recherches pollenanalytiques sur la vegetation holocene de la plaine alluviale de l'estuaire de la Loire et des coteaux environnants",NA,"Peat",377.64,8838.33,"pollen",114,6,"this compilation"
"26",26,46.4,-78.92,"Bastien","Bastien.Bennett.1987.lpd",305,"North America>Canada>Ontario","North America>Canada>Ontario","Bennett, K. D.",1987,"Holocene history of forest trees in southern Ontario","Canadian Journal of Botany","LakeSediment",0,10833,"pollen",67,8,"this compilation"
"27",27,45.8,-122.49,"Battle Ground","BattleGround.Whitlock.1985.lpd",155,"North America>United States Of America>Washington","North America>United States Of America>Washington","Barnosky, C. W.",1985,"Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington","Geologial Society of America Bulletin","LakeSediment",-30,10542.1,"pollen",105,7,"this compilation"
"28",28,54.74,-101.68,"Beaverhouse","Beaverhouse.Ritchie.1976.lpd",305,"North America>Canada>Manitoba","North America>Canada>Manitoba","Ritchie, J. C.",1976,"The late-Quaternary vegetational history of the western interior of Canada","Canadian Journal of Botany","LakeSediment",-25,10183,"pollen",53,8,"this compilation"
"29",29,54.09,24.12,"Bebrukas Lake","BebrukasLake.Shulija.1967.lpd",149,"Europe>Northern Europe>Lithuania","Europe>Northern Europe>Lithuania","Shulija, K.S.; Lujanas, V.J.; Kibilda, Z.A.; Banys, J.J.; Genutiene, I.K.",1967,"Stratigraphy and chronology of lacustrine and bog deposits of the Bebrukas lake hollow","Trudi Instituta Geologiyi, Vilnius","Peat",285.89,10889.62,"pollen",47,6,"this compilation"
"30",30,37.47,-108.16,"Beef Pasture","BeefPasture.Petersen.1985.lpd",3060,"North America>United States Of America>Colorado","North America>United States Of America>Colorado","Petersen, K.L.",1985,"Palynology in Montezuma County, southwestern Colorado: The local history of pinyon pine (Pinus edulis)",NA,"LakeSediment",0,6025.2,"pollen",91,9,"this compilation"
"31",31,66.34,36.66,"Berkut","Berkut.Ilyashuk.2005.lpd",25,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Ilyashuk, Elena A.; Ilyashuk, Boris P.; Hammarlund, Dan; Larocque, Isabelle",2005,"Holocene climatic and environmental changes inferred from midge records (Diptera: Chironomidae, Chaoboridae, Ceratopogonidae) at Lake Berkut, southern Kola Peninsula, Russia","The Holocene","LakeSediment",14,10118,"chironomid",44,8,"this compilation"
"32",32,42.5,-73.32,"Berry","Berry.Whitehead.1979.lpd",600,"North America>United States Of America>Massachusetts","North America>United States Of America>Massachusetts","Whitehead, Donald R.",1979,"Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts","Quaternary Research","LakeSediment",40,10973,"pollen",42,7,"this compilation"
"33",33,57.12,-76.38,"BI2","BI2Lake.Gajewski.1992.lpd",210,"North America>Canada>Quebec","North America>Canada>Quebec","Gajewski, K.; Garralla, Silvina",1992,"Holocene vegetation histories from three sites in the tundra of northwestern Quebec, Canada","Arctic and Alpine Research","LakeSediment",-42,7791,"pollen",43,7,"this compilation"
"34",34,54.24,-2.99,"Bigland Tarn","BiglandTarn.Barber.2013.lpd",160,"Atlantic Ocean>North Atlantic Ocean>North Sea","Atlantic Ocean>North Atlantic Ocean>North Sea","Barber, Keith; Brown, Alastair; Langdon, Peter; Hughes, Paul",2013,"Comparing and cross-validating lake and bog palaeoclimatic records: A review and a new 5,000 year chironomid-inferred temperature record from northern England","Journal of Paleolimnology","LakeSediment",12,4806,"chironomid",32,6,"this compilation"
"35",35,46.27,-94.55,"Billys","Billys.Jacobson.1975.lpd",383,"North America>United States Of America>Minnesota","North America>United States Of America>Minnesota","Jacobson, G.L., Jr.",1975,"A palynological study of the history and ecology of white pine in Minnesota",NA,"LakeSediment",0,10942,"pollen",77,7,"this compilation"
"36",36,52.78,17.73,"Biskupinskie Lake","BiskupinskieLake.Noryskiewicz.1995.lpd",80,"Europe>Eastern Europe>Poland","Europe>Eastern Europe>Poland","Noryskiewicz, B.",1995,"Zmiany szaty roslinnej okolic Jeziora Biskupinskiego pod wplywem czynnikow naturalnych i antropogenicznych w poznym glacjale i holocenie [Changes in vegetation of the Biskupin (Biskupinskie) lake area during the Late-Glacial and the Holocene, caused by natural and anthropogenic factors]",NA,"LakeSediment",264.67,10959.94,"pollen",145,6,"this compilation"
"37",37,68.43,18.07,"Bjornfjell","Bjornfjell.Brooks.2006.lpd",510,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Brooks, Stephen J.",2006,"Fossil midges (Diptera: Chironomidae) as palaeoclimatic indicators for the Eurasian region","Quaternary Science Reviews","LakeSediment",107.31,11280.43,"chironomid",61,9,"this compilation"
"38",38,52.55,20.67,"Bledowo Lake","BledowoLake.Binka.1988.lpd",78,"Europe>Eastern Europe>Poland","Europe>Eastern Europe>Poland","Binka, K.; Madeyska, T.; Marciniak, B.; Seroczynska, K.; Wieckowski, K.",1988,"Bledowo lake (central Poland): History of vegetation and lake development during the last 12 kyr","Bull. Acad. Polon. Sci.","LakeSediment",156.23,10995.75,"pollen",294,6,"this compilation"
"39",39,42.08,-71.96,"Blood Pond","BloodPond.Marsicek.2013.lpd",214,"North America>United States Of America>Massachusetts","North America>United States Of America>Massachusetts","Marsicek, Jeremiah P.; Shuman, Bryan; Brewer, Simon; Foster, David R.; Oswald, W. Wyatt",2013,"Moisture and temperature changes associated with the mid-Holocene Tsuga decline in the northeastern United States","Quaternary Science Reviews","LakeSediment",0,11000,NA,NA,10,"this compilation"
"40",40,55.01,-73.52,"Lake BN7","BN7Lake.Gajewski.1991.lpd",395,"North America>Canada>Quebec","North America>Canada>Quebec","Gajewski, K.",1991,"Repr̩sentation pollinique actuelle    la limite des arbres au Nouveau-Qu̩bec","Canadian Journal of Earth Sciences","LakeSediment",-39,6737,"pollen",22,7,"this compilation"
"41",41,46.26,7.84,"Boehnigsee Goldmoos","BoehnigseeGoldmoos.Markgraf.1969.lpd",2100,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Markgraf, Vera",1969,"Moorkundliche und vegetationsgeschichtliche Untersuchungen an einem Moorsee an der Waldgrenze im Wallis","Botanische Jahrbuecher","Peat",247.09,10974.95,"pollen",94,6,"this compilation"
"42",42,55.39,80.62,"Lake Bolshie Toroki","BolshieToroki.Zhilich.2017.lpd",128,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Zhilich, Snezhana; Rudaya, Natalia; Krivonogov, Sergei; Nazarova, Larisa; Pozdnyakov, Dmitry",2017,"Environmental dynamics of the Baraba forest-steppe (Siberia) over the last 8,000 years and their impact on the types of economic life of the population","Quaternary Science Reviews","LakeSediment",-62,7892.6,"pollen",84,9,"this compilation"
"43",43,55.58,-119.43,"Boone","Boone.White.1986.lpd",872,"North America>Canada>Alberta","North America>Canada>Alberta","White, James M.; Mathewes, Rolf W.",1986,"Postglacial vegetation and climatic change in the upper Peace River district, Alberta","Canadian Journal of Botany","LakeSediment",-28,10528,"pollen",72,7,"this compilation"
"44",44,55.33,-63.2,"Border Beacon","BorderBeacon.Lamb.1985.lpd",470,"North America>Canada>Newfoundland And Labrador","North America>Canada>Newfoundland And Labrador","Lamb, H. F.",1985,"Palynological evidence for postglacial change in the position of tree limit in Labrador","Ecological Monographs","LakeSediment",45,7732.7,"pollen",27,7,"this compilation"
"45",45,45.57,-70.68,"Boundary Pond","BoundaryPond.Mott.1977.lpd",603,"North America>United States Of America>Maine","North America>United States Of America>Maine","Mott, R. J.",1977,"Late-Pleistocene and Holocene palynology in southeastern Qu̩bec","G̩ographie physique et Quaternaire","LakeSediment",0,10835.2,"pollen",56,7,"this compilation"
"46",46,66.9875,-51.0333,"BrayaSo.vonGunten.2012","BrayaSo.vonGunten.2012.lpd",170,"North America>Greenland","North America>Greenland","von Gunten, Lucien; D'Andrea, William J.; Bradley, Raymond S.; Huang, Yongsong",2012,"Proxy-to-proxy calibration: Increasing the temporal resolution of quantitative climate reconstructions","Scientific Reports","LakeSediment",-55,6949,"chlorophyll",660,3,"www.ncdc.noaa.gov/paleo/study/13218"
"47",47,47.93,8.07,"Breitnau-Neuhof","Breitnau-Neuhof.Roesch.2009.lpd",986,"Europe>Western Europe>Germany","Europe>Western Europe>Germany","Roesch, M.",2009,"Zur vorgeschichtlichen Besiedlung und Landnutzung im noerdlichen Schwarzwald aufgrund vegetationsgeschichtlicher Untersuchungen in zwei Karseen. [Prehistoric settlement and land use history of the Northern Black Forest as indicated by pollenanalytical investigations in two cirque lakes]","Mitt. Ver. Forstl. Standortskunde u. Forstpflanzenzuechtung","Peat",198.81,10758.39,"pollen",77,6,"this compilation"
"48",48,38.4,13.6,"BS79-38","BS79_38.Cacho.2001.lpd",-1489,"Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Cacho, Isabel",2001,"Variability of the western Mediterranean Sea surface temperature during the last 25,000 years and its connection with the Northern Hemisphere climatic changes","Paleoceanography","MarineSediment",867,24517,"alkenone",71,NA,"www.ncdc.noaa.gov/paleo/study/6374"
"49",49,47,11.14,"Buntes Moor","BuntesMoor.Weirich.1980.lpd",2285,"Europe>Western Europe>Austria","Europe>Western Europe>Austria","Weirich, J.; Bortenschlager, S.",1980,"Beitraege zur Vegetationsgeschichte Tirols III: Stubaier Alpen - Zillertaler Alpen","Ber. nat.-med. Verein Innsbruck","Peat",330.41,6521.1,"pollen",86,6,"this compilation"
"50",50,46.5507,8.7139,"Cadagno","Cadagno.Niemann.2012.lpd",1921,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Niemann, H.; Stadnitskaia, A.; Wirth, S. B.; Gilli, A.; Anselmetti, F. S.; Sinninghe Damst̩, J. S.; Schouten, S.; Hopmans, E. C.; Lehmann, M. F.",2012,"Bacterial GDGTs in Holocene sediments and catchment soils of a high alpine lake: application of the MBT/CBT-paleothermometer","Climate of the Past","LakeSediment",NA,NA,"GDGT",47,16,"www.ncdc.noaa.gov/paleo/study/12909"
"51",51,46.67,-88.02,"Camp 11","Camp11.Brubaker.1975.lpd",549,"North America>United States Of America>Michigan","North America>United States Of America>Michigan","Brubaker, Linda B.",1975,"Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan","Quaternary Research","LakeSediment",105,10580,"pollen",35,7,"this compilation"
"52",52,-33.3926,22.214,"Cango Cave","CangoCave.Talma.1992.lpd",670,"Africa>Southern Africa>South Africa","Africa>Southern Africa>South Africa","Talma, A.S.; Vogel, John C.",1992,"Late Quaternary paleotemperatures derived from a speleothem from Cango Caves, Cape Province, South Africa","Quaternary Research","Speleothem",11.8,6407.6,"d18O",104,8,"this compilation"
"53",53,30.85,-10.2685,"Cape Ghir","CapeGhir.Kim.2007.lpd",-900,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Kim, Jung-Hyun; Meggers, Helge; Rimbu, Norel; Lohmann, Gerrit; Freudenthal, Tim; M _ller, Peter J.; Schneider, Ralph R.",2007,"Impacts of the North Atlantic gyre circulation on Holocene climate off northwest Africa","Geology","MarineSediment",0,1196.37,"alkenone",38,7,"this compilation"
"54",54,48.2,-64.94,"Caribou-Qubec","Caribou-Qubec.Jett.1992.lpd",116,"North America>Canada>Quebec","North America>Canada>Quebec","Jett̩, H̩l̬ne; Richard, Pierre J. H.",1992,"Contribution    l ۪histoire postglaciaire de la v̩g̩tation en Gasp̩sie m̩ridionale, Qu̩bec","G̩ographie physique et Quaternaire","LakeSediment",74,10494,"pollen",29,7,"this compilation"
"55",55,55.67,-63.25,"Caribou Hill","CaribouHill.Lamb.1985.lpd",475,"North America>Canada>Newfoundland And Labrador","North America>Canada>Newfoundland And Labrador","Lamb, H. F.",1985,"Palynological evidence for postglacial change in the position of tree limit in Labrador","Ecological Monographs","LakeSediment",46,6871,"pollen",37,7,"this compilation"
"56",56,64.2572,-110.1008,"Carleton Lake","CarletonLake.Upiter.2014.lpd",420,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Upiter, Lindsay M.; Vermaire, Jesse C.; Patterson, R. Timothy; Crann, Carley A.; Galloway, Jennifer M.; Macumber, Andrew L.; Neville, Lisa A.; Swindles, Graeme T.; Falck, Hendrik; Roe, Helen M.; Pisaric, Michael F. J.",2014,"Middle to late Holocene chironomid-inferred July temperatures for the central Northwest Territories, Canada","Journal of Paleolimnology","LakeSediment",-53.9,5964.2,"chironomid",50,8,"www.ncdc.noaa.gov/paleo/study/16296"
"57",57,45.92,-120.88,"Carp","Carp.Whitlock.1985.lpd",714,"North America>United States Of America>Washington","North America>United States Of America>Washington","Barnosky, Cathy W.",1985,"Late Quaternary vegetation in the southwestern Columbia Basin, Washington","Quaternary Research","LakeSediment",0,10008.7,"pollen",88,8,"this compilation"
"58",58,37.65,-107.81,"Cascade Fen","CascadeFen.Maher.1963.lpd",2690,"North America>United States Of America>Colorado","North America>United States Of America>Colorado","Maher, Louis J.",1963,"Pollen analyses of surface materials from the southern San Juan Mountains, Colorado","Geological Society of America Bulletin","LakeSediment",0.7,6482.5,"pollen",66,8,"this compilation"
"59",59,46.61,-73,"Castor","Castor.Larouche.NA.lpd",220,"North America>Canada>Quebec","North America>Canada>Quebec",NA,NA,NA,NA,"LakeSediment",136,10900,"pollen",41,7,"this compilation"
"60",60,61.4639,-58.0365,"CC04","CC04.Gibb.2015.lpd",-2674,"Atlantic Ocean>North Atlantic Ocean>Davis Strait","Atlantic Ocean>North Atlantic Ocean>Davis Strait","Gibb, Olivia T; Steinhauer, Sarah; Fr̩chette, Bianca; de Vernal, Anne; Hillaire-Marcel, Claude",2015,"Diachronous evolution of sea surface conditions in the Labrador Sea and Baffin Bay since the last deglaciation","The Holocene","MarineSediment",18.882,15598,"dinocyst",157,8,"this compilation"
"61",61,77.17,-61.13,"Century","Century.Johnsen.1972.lpd",1890,"North America>Greenland","North America>Greenland","Johnsen, S. J.; Dansgaard, W.; Clausen, H. B.; Langway, C. C.",1972,"Oxygen isotope profiles through the Antarctic and Greenland Ice Sheets","Nature","GlacierIce",50,6990,NA,0,NA,"www.ncdc.noaa.gov/paleo/study/15444"
"62",62,70.5569,-68.9519,"CF8","CF8.Axford.2011.lpd",195,"North America>Canada>Nunavu","North America>Canada>Nunavu","Axford, Y.; Briner, J. P.; Francis, D. R.; Miller, G. H.; Walker, I. R.; Wolfe, A. P.",2011,"Chironomids record terrestrial temperature changes throughout Arctic interglacials of the past 200,000 yr","Geological Society of America Bulletin","LakeSediment",4425.349,11463.986,NA,0,8,"this compilation"
"63",63,49.68,-74.58,"Lake CH2","CH2.Garralla.1992.lpd",830,"North America>Canada>Quebec","North America>Canada>Quebec","Garralla, Silvina; Gajewski, K.",1992,"Holocene vegetation history of the boreal forest near Chibougamau, central Quebec","Canadian Journal of Botany","LakeSediment",1,8332,"pollen",89,7,"this compilation"
"64",64,-3.3167,37.7,"Challa Lake","ChallaLake.Damst.2012.lpd",880,"Africa>Eastern Africa>Kenya","Africa>Eastern Africa>Kenya","Sinninghe Damst̩, Jaap S.; Ossebaar, Jort; Schouten, Stefan; Verschuren, Dirk",2012,"Distribution of tetraether lipids in the 25-ka sedimentary record of Lake Challa: Extracting reliable TEX86 and MBT/CBT palaeotemperatures from an equatorial African lake","Quaternary Science Reviews","LakeSediment",-49,24896,"GDGT",229,7,"10.1594/PANGAEA.880136"
"65",65,31.56,117.39,"Chaohu","Chaohu.Li.2018.lpd",10,"Asia>Eastern Asia>China","Asia>Eastern Asia>China","Li, Jianyong; Dodson, John; Yan, Hong; Wang, Weiming; Innes, James B.; Zong, Yongqiang; Zhang, Xiaojian; Xu, Qinghai; Ni, Jian; Lu, Fengyan",2018,"Quantitative Holocene climatic reconstructions for the lower Yangtze region of China","Climate Dynamics","LakeSediment",-55,10465,"pollen",63,9,"this compilation"
"66",66,-53.03,-73.9,"Churruca","Churruca.Caniupan.2014.lpd",-80,"South America>Chile","South America>Chile","Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,"Holocene sea-surface temperature variability in the Chilean fjord region","Quaternary Research","MarineSediment",NA,NA,"alkenone",44,7,"this compilation"
"67",67,44.15,7.24,"Clapeyret","Clapeyret.deBeaulieu.1977.lpd",2260,"Europe>Western Europe>France","Europe>Western Europe>France","de Beaulieu, J.L.",1977,"Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices",NA,"Peat",-17.78,10110.61,"pollen",45,6,"this compilation"
"68",68,-45.72,170.12,"Clarks Junction","ClarksJunction.Wilmshurst.2007.lpd",560,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP","Journal of Quaternary Science","Peat",944.727,16800,"pollen",28,9,"this compilation"
